FID,LSOA21CD,GlobalID,x,y
1,E01000001,38ad8fe8-682a-4533-b51a-16c9ca366294,-0.0962459471554422,51.5195380247438
2,E01018945,0681c038-f7dd-4a2e-83c1-c8d3b32443f6,-4.78104182126025,50.4575141367345
3,E01000120,e5ffc70b-0e24-40a9-afe8-13da1ec4032e,-0.14005949212722,51.6321609327829
4,E01031487,17c7f13f-1a6a-45c5-a5cc-2c50e725c799,-0.775551122516684,50.8557696443552
5,E01021013,f55e8508-e975-4025-896c-a270de41fc79,0.603293513480337,50.8730934813723
6,E01023096,70aa5db0-c94c-4f58-b3c8-8d2b22481a40,-0.749376007400373,51.2942344779695
7,E01009311,7870373f-0e3a-4c12-bc57-7dcd9a6be0c5,-1.79228755764284,52.4851229918559
8,E01002870,c763cab4-21f0-438e-a644-0fda6d16e181,-0.215734648075572,51.5105561968393
9,E01004752,84c582a6-21ec-4539-b947-726d47081b42,-0.140117259022543,51.4893966588577
10,E01024004,6bc371b6-5cf2-484a-ab40-28b93f012bca,0.907349447607344,51.144102986719
11,E01030357,95f50d4d-340d-4ade-bbbb-6e83ab4a02ec,-0.420888423418625,51.3891773033532
12,E01004277,10fb8fe1-c134-4adc-94ad-dad20c34362f,-0.0259158504143796,51.506701989741
13,E01031691,68ce4cb2-5ab5-4e07-9ae3-f2419d65b222,-0.333795536172935,51.0672595005489
14,E01016480,b0cbe375-9ab7-4a8c-ada3-dfb5b25b4fa3,-0.533797524253277,51.4867417961643
15,E01020992,bd73c660-9a2e-40b9-ae93-24199e9f938b,0.560151664884551,50.8593741762018
16,E01024314,68e2c9b3-3c4f-400b-9682-1713f2e83044,0.382439093972036,51.4283979778933
17,E01002740,cf93a4da-d337-4f8c-9c70-76814e0d10bf,-0.101984903417774,51.5481426364744
18,E01031796,44fe648a-ca5c-4698-92e9-e403ca14dd95,-0.38290258762046,50.8198422970459
19,E01029127,2f756d9b-17a0-4a59-936b-c4bd8c41cb23,-2.77837833152115,51.2763734711946
20,E01014512,5e776c0d-c7f8-4502-977c-513085c2ddd2,-2.5880627076838,51.4760424633798
21,E01000250,9f6fadc5-ea6c-406d-9656-9c3d29a76797,-0.198583683501956,51.6544732347842
22,E01004417,fe54cdba-b419-4420-b376-3f26eecbf7d9,-0.0145281870908462,51.6133851817485
23,E01000633,24e23f15-cee7-4cda-867c-c8d1848ce5b4,-0.299530031221858,51.5493606043576
24,E01001354,bffb9ae1-b230-4e3b-b6ec-f62941e34b92,-0.279764405030823,51.5073403784995
25,E01016381,9a0849cd-d97f-4ae5-82e1-007dcc28d58a,-1.02168081689865,51.4627575539567
26,E01001712,a0dfaba4-f558-43b1-859b-505686a90745,0.0564339254424868,51.4928198980759
27,E01024028,8076a2cb-b8e7-47cb-875d-61a2e8585ff8,0.853694913999366,51.1433369738306
28,E01002751,cf208f88-f498-4b9f-a2f0-387585b0309a,-0.111410361706463,51.5568855352718
29,E01021221,76afc0c4-dafe-4a1a-983d-747129fe8366,0.0964407478712766,50.9659339881487
30,E01033132,d664e690-6e39-4b19-92f3-438c8608edba,-0.146372578617375,51.4819480589427
31,E01003901,e58b7d0a-85bc-4fd1-9bfc-6c300b020d09,-0.356765706398219,51.4449338019142
32,E01021117,61a091a7-4d30-436d-ac28-a99b7e562de7,0.735926770487343,50.9537544837595
33,E01002733,b41a77e4-25ac-409d-b308-ae08a77e7f01,-0.120265404216623,51.5615115931098
34,E01002289,088643db-8558-4d50-beb1-2384f70c07b6,0.232436573636373,51.5557711270425
35,E01021165,00712ec9-0be7-47eb-a1fb-0343b9345e5e,0.0644945741197134,50.9427203719263
36,E01014555,7fbd7749-9219-4f4a-860a-46fd889078fa,-2.61218316264363,51.4549761956374
37,E01035447,6f5b9dad-314f-4f96-a53c-f0baaf18265a,-1.37988058288519,50.8921444793408
38,E01003526,564d45ab-5b41-4333-a784-db2d82c7e2be,0.0513327276085567,51.5310810042031
39,E01024383,749fa56f-655c-4c5b-b970-3590aa4e2b8c,0.519644764243409,51.2843988709391
40,E01021153,d70882be-8cc1-4f1c-93cb-9a8258cbd3ca,0.170708903167474,51.0499696747863
41,E01021222,ecfbb337-dcfe-48f8-87c2-c58b8c9b9510,0.100832715143953,50.9670271274076
42,E01014483,51d53b99-19d5-4927-a97e-d4911fa41e78,-2.35298401422731,51.3768122429905
43,E01001887,5b4c33ff-552e-43ba-aaa1-fca5a759b609,-0.21728673289164,51.4841202002946
44,E01023973,c54dcd89-559e-4d38-ad41-022c623d7d08,0.886685045923421,51.1379745078493
45,E01015343,678cf19f-fd22-453c-9ef3-6c225b783845,-1.86068578298895,50.7531012747761
46,E01029281,b516179b-9244-4c4e-a3bf-ff60c04c0d1c,-3.07945062706132,51.0109395629595
47,E01024660,279a9be1-a40d-4079-ae9c-5a88120c6f5e,1.40096099908649,51.3893871502724
48,E01003679,75517b31-6db4-4616-9532-d97e92fbe0b5,0.0589080148871158,51.5902716424254
49,E01031351,ba03a198-5e30-4163-b1d9-3ceb8c78d5f2,-0.241631329144805,50.8436470985428
50,E01002209,215c8652-6fc0-46c4-a0fd-25fca02fdd17,-0.372070844933714,51.5773323105862
51,E01003033,72504e92-9241-4a58-bcee-3f1874a5c0dc,-0.138002921466699,51.4562659744753
52,E01021130,906c0477-a1b5-49ce-95e0-e1379a7539c1,0.465426856105505,50.8520253055537
53,E01002396,89dc3e81-2d60-4481-954a-df7822b8ef0c,-0.40260915540299,51.5191180832697
54,E01020111,4aef783f-c8c7-406e-a2d8-4156852d3e49,-4.12134978042877,51.2059071408523
