brand_id,fascia_id,brand,fascia,p25_m2,median_m2,p75_m2,min_m2,max_m2,sample_count,coefficient_of_variation
ce48468a-422e-4bf4-83b6-6e81967df01f,,Waterstones,,307.0,420.0,622.0,222.0,1633.0,41,0.612
70f1354e-4c5f-4351-8beb-60d0adc20829,82b6f201-ac70-41e3-bff7-6819ea4fb1f8,Peacocks,Peacocks,564.0,767.5,944.2,384.0,1398.0,30,0.351
70f1354e-4c5f-4351-8beb-60d0adc20829,,Peacocks,,564.0,767.5,944.2,384.0,1398.0,30,0.351
b80c7cf1-2965-444d-81ef-c6cb837969ea,9decc6d2-cde5-4530-96e3-bd057c37b269,The White Company,The White Company,364.5,473.5,603.0,244.0,1121.0,10,0.483
b80c7cf1-2965-444d-81ef-c6cb837969ea,,The White Company,,364.5,473.5,603.0,244.0,1121.0,10,0.483
568591fd-ed88-52eb-906e-6f5dcde0cb5e,bdfcae8e-0111-552f-a2c4-0aefeb730590,Asda,Asda Supercentre,145.0,198.0,234.5,108.0,319.0,6,0.385
3c67f5bb-9c14-405b-986d-81780e5bdbd6,40a51f72-8de5-43dc-b400-513e59b5ca54,Boom Battle Bar,Boom Battle Bar,608.0,821.0,1063.5,195.0,27740.0,15,2.604
3c67f5bb-9c14-405b-986d-81780e5bdbd6,,Boom Battle Bar,,608.0,821.0,1063.5,195.0,27740.0,15,2.604
11e05243-ad0a-4a02-82c2-96f8c9fffb49,93114bfd-1dd8-44de-a935-6c9b81b66b4e,Nuffield Health,Nuffield Health,2348.0,3130.0,3588.5,1618.0,6452.0,47,0.325
11e05243-ad0a-4a02-82c2-96f8c9fffb49,,Nuffield Health,,2348.0,3130.0,3588.5,1618.0,6452.0,47,0.325
37f2f023-4bf3-4679-b2c5-d93dc7784db1,16263ccd-3638-47e1-aabd-61b70625c1dc,Chaiiwala,Chaiiwala,107.0,214.5,303.0,40.0,395.0,10,0.59
37f2f023-4bf3-4679-b2c5-d93dc7784db1,,Chaiiwala,,107.0,214.5,303.0,40.0,395.0,10,0.59
7bca6697-511b-4b9b-b94c-bd940f6da979,f2164c43-5e75-4ed5-904c-6b4bedd7e243,Dunelm,Dunelm,2953.0,3639.0,3966.0,1531.0,4563.0,29,0.224
7bca6697-511b-4b9b-b94c-bd940f6da979,,Dunelm,,2953.0,3639.0,3966.0,1531.0,4563.0,29,0.224
677173bc-f060-4e33-9bfb-093f4a86d89e,59f1fa48-94c1-4584-82a3-1f9059e50bca,Anytime Fitness,Anytime Fitness,399.0,491.0,633.0,221.0,1017.0,70,0.37
677173bc-f060-4e33-9bfb-093f4a86d89e,,Anytime Fitness,,399.0,491.0,633.0,221.0,1017.0,70,0.37
47a104ca-338d-40ae-86fe-d337aaf04f8d,e9075657-6613-4c1f-af30-09f428ca519f,Joe & The Juice,Joe & The Juice,109.8,153.5,321.0,25.0,2567.0,34,1.502
47a104ca-338d-40ae-86fe-d337aaf04f8d,,Joe & The Juice,,109.8,153.5,321.0,25.0,2567.0,34,1.502
3d3eb77c-4a24-4945-89f3-1671827f49eb,b7407ef7-d471-4d4a-aa5b-a454442e5fc9,Slim Chickens,Slim Chickens,199.0,318.0,463.0,92.0,4410.0,5,1.694
3d3eb77c-4a24-4945-89f3-1671827f49eb,,Slim Chickens,,199.0,318.0,463.0,92.0,4410.0,5,1.694
d4c2757d-d982-529b-b490-cf3d638033a1,ae42e4c8-33fe-5f48-a9e1-422569fe9bc5,Chelmsford Star Co-operative Society,The Co-operative Food,192.0,299.0,339.0,64.0,688.0,17,0.539
d4c2757d-d982-529b-b490-cf3d638033a1,,Chelmsford Star Co-operative Society,,192.0,299.0,339.0,64.0,688.0,17,0.539
d59807de-63c4-5b13-b0b3-e8dd7b297891,303bdd0f-9276-572c-98c0-906d4b57b61f,Lincolnshire Co-operative,The Co-operative Food,167.5,386.0,406.5,49.0,1338.0,36,0.751
d59807de-63c4-5b13-b0b3-e8dd7b297891,,Lincolnshire Co-operative,,167.5,386.0,406.5,49.0,1338.0,36,0.751
363b51c8-6ead-4bb5-b397-64f2e10a4ed3,1ac1a7e6-0983-4ffb-831a-26a32ddbfede,Poundstretcher,Poundstretcher,634.8,858.0,1157.0,251.0,2517.0,46,0.571
363b51c8-6ead-4bb5-b397-64f2e10a4ed3,,Poundstretcher,,634.8,858.0,1157.0,251.0,2517.0,46,0.571
30035c06-f885-4f86-9ca2-c2fe17f38b17,dcc5a4e2-c7bc-4d1e-9723-b761aa5192ab,Chopstix,Chopstix,140.0,187.0,309.0,94.0,818.0,19,0.706
30035c06-f885-4f86-9ca2-c2fe17f38b17,,Chopstix,,140.0,187.0,309.0,94.0,818.0,19,0.706
39326c88-5150-4339-b497-92e798da825f,d1fd40c5-1ddd-40a6-a659-571cbb767e2e,Goldsmiths,Goldsmiths,185.5,260.0,438.0,137.0,1145.0,7,0.886
39326c88-5150-4339-b497-92e798da825f,,Goldsmiths,,185.5,260.0,438.0,137.0,1145.0,7,0.886
786fbdab-5fb9-4078-a8d5-1bd253b6db83,f2d76557-5e5a-4822-a061-ac4e73cba8d4,Burger King,Burger King Drive Thru,204.2,250.0,269.8,116.0,677.0,70,0.339
85a5c5ee-0da5-4a71-a2d9-6036ca3300cb,ee5e9a2b-3c4f-4eab-9579-dc9f0f374e82,Snap Fitness,Snap Fitness,533.5,712.0,827.0,363.0,2010.0,42,0.463
85a5c5ee-0da5-4a71-a2d9-6036ca3300cb,,Snap Fitness,,533.5,712.0,827.0,363.0,2010.0,42,0.463
d1a3b299-44c3-4d98-9f1b-f508a36a246e,7338ee1a-9af8-4d73-b219-3396f19c8274,Taco Bell,Taco Bell,169.0,264.0,372.0,85.0,747.0,29,0.543
d1a3b299-44c3-4d98-9f1b-f508a36a246e,,Taco Bell,,169.0,264.0,372.0,85.0,747.0,29,0.543
6e905225-e2de-409c-98a0-7a97e6e93f3c,5f7b07da-21a9-4134-bd77-c6bee67a8fe7,Cinch Self Storage,Cinch Self Storage,3073.0,3959.0,5329.0,366.0,9174.0,17,0.533
6e905225-e2de-409c-98a0-7a97e6e93f3c,,Cinch Self Storage,,3073.0,3959.0,5329.0,366.0,9174.0,17,0.533
79769f96-abcb-41fc-9f22-8e01b3886d4e,462eeced-bae9-4e02-86d2-9b060c4d08b9,IRO Sushi,IRO Sushi,64.2,86.0,120.2,50.0,174.0,38,0.386
79769f96-abcb-41fc-9f22-8e01b3886d4e,,IRO Sushi,,64.2,86.0,120.2,50.0,174.0,38,0.386
9ec5c3ce-d9a3-4cb4-88da-bf9f60d1d217,a2f2a427-c583-4f55-9135-cb1a35cea46c,Hollywood Bowl,Hollywood Bowl,2264.0,2607.0,3058.0,1957.0,6233.0,19,0.342
9ec5c3ce-d9a3-4cb4-88da-bf9f60d1d217,,Hollywood Bowl,,2264.0,2607.0,3058.0,1957.0,6233.0,19,0.342
ab0505b8-19a1-4dc5-bb4b-65f0e467621d,1cb9b2d7-53e0-4fd4-9ef8-7e65b852354a,Access Self Storage,Access Self Storage,5606.5,8083.5,9847.8,2930.0,17219.0,42,0.409
ab0505b8-19a1-4dc5-bb4b-65f0e467621d,,Access Self Storage,,5606.5,8083.5,9847.8,2930.0,17219.0,42,0.409
8eb90b1a-02c8-4160-a945-90c3532b3f9c,f18222cc-d932-4b2e-ae46-c32db084f142,EG on the move,EG on the move,99.2,151.5,208.2,81.0,247.0,6,0.437
8eb90b1a-02c8-4160-a945-90c3532b3f9c,,EG on the move,,99.2,151.5,208.2,81.0,247.0,6,0.437
e5675fa0-462e-40cc-af49-eeb177c6b333,a9ea439e-2903-4860-9fd8-04465b9bcc80,Pets at Home,Pets at Home,684.5,740.0,854.8,475.0,2430.0,12,0.589
e5675fa0-462e-40cc-af49-eeb177c6b333,,Pets at Home,,684.5,740.0,854.8,475.0,2430.0,12,0.589
75759c1d-56be-4269-888a-6601fd168ea4,01452437-300e-4a84-a46e-96457b9914e3,Tenpin,Tenpin,2075.0,2725.0,3166.0,206.0,4969.0,18,0.487
75759c1d-56be-4269-888a-6601fd168ea4,,Tenpin,,2075.0,2725.0,3166.0,206.0,4969.0,18,0.487
438fab4f-0adc-43f4-b7cd-93fc34e05015,051066a8-a4b9-4bfa-bfa5-d503d379f023,IWG / Regus,IWG / Regus,232.2,449.5,581.8,56.0,1348.0,12,0.784
438fab4f-0adc-43f4-b7cd-93fc34e05015,,IWG / Regus,,232.2,449.5,581.8,56.0,1348.0,12,0.784
de013248-d228-4d69-aeab-8836ec0a128e,5e6287f1-7e0d-4bd2-a894-1cc363176d78,Howdens Joinery,Howdens Joinery,780.8,952.0,989.5,110.0,2984.0,14,0.851
de013248-d228-4d69-aeab-8836ec0a128e,,Howdens Joinery,,780.8,952.0,989.5,110.0,2984.0,14,0.851
4cda547f-0451-5082-8fa7-c0b173065e09,8a98d247-690d-50c9-be80-2d7d13f9814b,Heart of England Co-operative,The Co-operative Food,133.0,325.0,362.0,124.0,391.0,5,0.482
4cda547f-0451-5082-8fa7-c0b173065e09,,Heart of England Co-operative,,133.0,325.0,362.0,124.0,391.0,5,0.482
ffdb6bc1-d775-54b9-9efd-d61b87a590f6,e11bea67-8d8d-562a-b4bb-088b06a10c3e,Makro,Makro,2633.0,3011.0,6295.0,1942.0,11543.0,7,0.771
ffdb6bc1-d775-54b9-9efd-d61b87a590f6,,Makro,,2633.0,3011.0,6295.0,1942.0,11543.0,7,0.771
7ae954de-2036-4c15-9224-d18dd4d23dd4,c99dcc37-070e-4c10-8b9b-dea6c0ef4d8a,Knoops,Knoops,86.0,102.0,152.0,68.0,184.0,9,0.366
7ae954de-2036-4c15-9224-d18dd4d23dd4,,Knoops,,86.0,102.0,152.0,68.0,184.0,9,0.366
af7560cf-f288-4894-9693-07a6b3eda361,fae49d3a-a085-4db4-ba80-9e1d099df873,Tim Hortons,Tim Hortons,293.0,339.5,386.0,198.0,785.0,18,0.414
af7560cf-f288-4894-9693-07a6b3eda361,,Tim Hortons,,293.0,339.5,386.0,198.0,785.0,18,0.414
