Intermediate Zone - Data Zone 2011,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01013075,481,271,104,52,36,11,2,5,0
S01013076,197,49,76,23,29,15,3,0,0
S01013077,339,127,108,64,38,8,4,2,0
S01013078,258,89,72,45,29,17,10,0,0
S01013079,390,71,115,83,79,36,5,2,1
S01013080,334,103,134,34,46,13,2,0,0
S01013081,429,93,166,65,87,20,4,0,0
S01013082,397,130,180,42,35,11,3,0,0
S01013083,236,88,71,38,27,6,0,1,0
S01013084,312,71,134,51,48,10,0,0,0
S01013085,208,71,73,33,20,7,3,1,0
S01013086,446,203,153,41,37,9,0,1,0
S01013087,340,83,154,47,38,13,5,0,0
S01013088,377,92,185,44,46,4,3,0,0
S01013089,441,230,140,41,21,6,2,0,0
S01013090,366,125,159,36,36,6,3,0,0
S01013091,338,152,145,21,12,3,4,0,0
S01013092,440,190,161,50,34,4,1,0,0
S01013093,215,53,106,24,28,5,1,0,0
S01013094,226,46,88,42,39,15,1,0,0
S01013095,250,24,102,45,59,14,6,0,0
S01013096,217,67,71,36,36,8,0,0,0
S01013097,390,86,132,67,77,17,5,1,0
S01013098,216,13,47,65,70,17,1,0,0
S01013099,435,199,152,35,38,12,0,0,0
S01013100,280,70,119,29,46,13,2,0,0
S01013101,466,225,137,53,43,6,4,0,0
S01013102,280,111,92,36,35,11,0,1,0
S01013103,346,67,122,67,72,21,2,0,0
S01013104,373,94,157,60,43,17,4,0,0
S01013105,404,113,157,62,51,15,1,1,0
S01013106,368,156,111,47,44,10,2,0,0
S01013107,506,91,196,90,93,26,6,0,2
S01013108,284,70,120,44,35,13,0,1,0
S01013109,528,133,198,86,73,26,8,1,0
S01013110,256,65,111,30,32,13,6,0,0
S01013111,180,58,83,14,17,5,1,0,0
S01013112,255,90,87,36,32,6,2,0,0
S01013113,370,138,130,38,46,12,7,1,0
S01013114,380,102,157,65,45,9,4,0,0
S01013115,328,177,94,36,18,4,1,0,0
S01013116,372,127,149,48,36,12,0,0,0
S01013117,262,104,67,41,38,12,0,0,0
S01013118,235,80,102,24,18,9,2,0,0
S01013119,351,110,152,38,38,10,3,0,0
S01013120,460,186,168,45,45,6,4,2,0
S01013121,163,58,60,21,18,4,0,0,0
S01013122,83,34,25,22,8,1,0,0,0
S01013123,554,288,163,59,26,11,6,1,0
S01013124,298,128,97,48,29,3,2,0,0
S01013125,405,189,130,39,39,7,0,0,0
S01013126,347,160,88,55,36,4,0,1,0
S01013127,383,158,103,58,36,18,10,0,0
S01013128,488,371,97,15,6,0,0,0,0
S01013129,596,318,146,68,34,19,4,3,0
S01013130,361,171,85,42,30,21,4,3,3
S01013131,310,140,93,50,22,9,0,0,0
S01013132,322,202,67,32,14,11,0,0,0
S01013133,513,290,122,49,38,17,1,0,0
S01013134,367,157,105,50,40,11,0,1,0
S01013135,436,228,95,54,32,17,4,3,0
S01013136,375,120,121,73,46,15,0,0,0
S01013137,300,97,100,45,32,18,4,0,1
S01013138,491,212,135,78,50,6,5,1,1
S01013139,345,163,81,54,32,10,4,1,0
S01013140,287,106,79,49,32,10,7,4,0
S01013141,482,235,112,54,60,9,7,3,1
S01013142,534,315,137,43,24,9,5,1,0
S01013143,346,150,120,31,35,11,3,0,0
S01013144,409,166,131,51,42,12,0,0,0
S01013145,331,141,94,47,30,10,2,0,0
S01013146,204,60,60,52,25,8,2,0,0
S01013147,377,133,124,58,41,17,4,0,0
S01013148,354,165,108,44,28,9,0,0,0
S01013149,396,181,118,56,34,6,2,0,0
S01013150,394,157,138,55,35,5,3,0,0
S01013151,221,92,70,28,17,9,3,0,0
S01013152,368,105,134,57,51,18,5,2,0
S01013153,397,155,101,80,42,12,5,2,0
S01013154,414,161,135,68,31,10,6,0,0
S01013155,374,141,102,66,39,14,5,3,2
S01013156,331,117,99,61,26,21,4,4,0
S01013157,437,136,140,81,46,21,7,3,1
S01013158,265,73,87,50,41,18,5,0,0
S01013159,247,83,101,34,20,6,1,1,1
S01013160,301,60,109,52,57,12,6,2,0
S01013161,479,203,138,70,46,16,6,0,1
S01013162,398,198,95,46,43,9,3,0,0
S01013163,234,39,107,46,31,8,1,0,0
S01013164,444,202,100,63,52,22,1,1,0
S01013165,410,151,132,68,43,9,5,2,0
S01013166,446,259,109,44,22,7,3,0,0
S01013167,440,273,88,38,31,12,0,0,0
S01013168,386,156,103,49,53,21,6,0,0
S01013169,438,210,133,47,31,14,2,1,0
S01013170,205,89,69,29,14,3,2,0,0
S01013171,225,53,85,35,40,9,2,0,0
S01013172,309,92,114,63,32,12,0,0,0
S01013173,355,145,118,50,28,5,3,0,0
S01013174,279,61,101,56,47,12,3,0,0
S01013175,372,112,131,62,55,6,4,0,0
S01013176,328,170,111,25,20,7,0,0,0
S01013177,275,111,91,40,24,4,1,0,0
S01013178,348,160,129,26,22,10,0,0,0
S01013179,346,109,139,52,30,7,4,3,0
S01013180,168,38,79,15,32,3,1,0,0
S01013181,312,84,137,48,29,6,1,0,0
S01013182,342,143,117,42,28,9,0,0,0
S01013183,317,89,118,50,47,8,3,0,0
S01013184,164,63,51,31,17,2,2,0,0
S01013185,314,106,111,60,27,5,0,1,0
S01013186,269,75,86,52,36,15,5,1,0
S01013187,318,114,101,40,47,18,0,0,0
S01013188,444,140,135,78,57,28,6,0,0
S01013189,189,51,69,37,23,6,2,1,0
S01013190,376,148,111,54,49,14,0,0,0
S01013191,492,80,171,114,106,22,0,0,1
S01013192,387,148,141,49,35,8,1,0,1
S01013193,569,231,214,65,50,7,1,0,0
S01013194,268,140,82,25,16,5,0,0,0
S01013195,832,518,197,75,31,14,1,0,0
S01013196,348,203,100,28,9,8,0,0,0
S01013197,305,111,119,37,28,8,1,1,0
S01013198,582,187,187,93,78,30,6,0,0
S01013199,518,268,163,54,22,8,2,2,1
S01013200,329,141,93,48,30,13,4,2,4
S01013201,383,175,93,50,41,17,4,2,2
S01013202,262,105,84,35,16,16,2,0,0
S01013203,353,164,117,41,24,8,2,1,0
S01013204,290,86,99,61,33,10,4,1,0
S01013205,275,98,79,50,25,19,5,3,0
S01013206,282,118,91,45,20,5,0,3,0
S01013207,502,231,129,66,40,32,2,1,0
S01013208,427,181,135,52,43,12,4,0,0
S01013209,419,213,129,36,34,4,3,0,0
S01013210,308,114,112,39,34,8,2,0,0
S01013211,404,190,140,41,26,4,4,0,0
S01013212,190,22,86,35,33,11,2,1,0
S01013213,206,42,85,43,25,8,2,0,0
S01013214,152,23,72,30,24,2,1,0,0
S01013215,606,173,181,101,108,32,10,1,0
