Intermediate Zone - Data Zone 2011,All occupied household spaces,One person,Two people,Three people,Four people,Five people,Six people,Seven people,Eight or more people
S01006506,491,208,178,47,43,15,1,0,0
S01006507,366,132,139,51,28,6,0,1,1
S01006508,292,143,88,31,23,4,1,1,0
S01006509,270,101,103,30,25,8,0,2,2
S01006510,297,139,78,36,36,7,1,0,0
S01006511,310,81,126,47,46,4,3,0,0
S01006512,255,58,120,28,32,11,0,0,0
S01006513,417,96,156,58,78,30,1,0,0
S01006514,376,61,149,65,74,20,6,0,2
S01006515,279,41,106,48,62,16,1,0,0
S01006516,196,45,88,28,20,14,0,1,0
S01006517,831,161,338,159,119,40,1,4,0
S01006518,250,43,111,32,41,19,2,0,0
S01006519,292,45,119,57,57,10,3,0,2
S01006520,231,20,81,38,61,23,5,0,0
S01006521,288,65,108,49,53,10,3,0,1
S01006522,268,57,94,40,54,21,0,0,1
S01006523,410,160,124,57,55,15,2,0,0
S01006524,385,172,110,40,44,18,2,2,0
S01006525,367,136,116,50,52,12,2,0,0
S01006526,435,184,138,59,35,14,5,1,0
S01006527,340,116,99,65,42,18,6,0,0
S01006528,487,207,131,65,45,23,5,10,1
S01006529,516,296,138,45,23,8,4,1,1
S01006530,348,161,89,50,27,21,3,1,0
S01006531,416,187,111,56,42,17,11,0,3
S01006532,310,131,105,36,27,10,3,0,0
S01006533,324,97,131,51,43,6,0,0,0
S01006534,412,150,148,43,60,12,2,1,0
S01006535,588,334,169,41,34,7,1,1,1
S01006536,514,347,130,21,12,4,0,0,0
S01006537,349,105,144,46,46,6,3,0,0
S01006538,242,56,116,26,35,7,2,0,0
S01006539,343,124,132,42,41,4,0,0,0
S01006540,429,167,161,53,39,3,3,0,0
S01006541,428,197,132,40,51,7,1,0,0
S01006542,517,198,180,63,66,8,0,0,1
S01006543,360,116,142,55,39,7,1,0,0
S01006544,516,214,188,57,42,12,0,0,0
S01006545,567,312,160,43,43,8,1,0,0
S01006546,264,78,108,43,30,7,0,0,0
S01006547,1008,358,295,150,161,32,12,2,0
S01006548,310,87,126,61,30,7,4,0,0
S01006549,399,133,142,58,47,9,7,0,0
S01006550,386,106,173,52,46,6,0,0,0
S01006551,320,194,74,26,20,5,1,0,0
S01006552,458,171,174,63,39,9,0,0,0
S01006553,398,164,145,38,35,10,2,2,0
S01006554,380,147,136,48,39,12,2,0,0
S01006555,234,135,55,19,22,0,3,0,0
S01006556,391,185,112,52,32,8,4,0,0
S01006557,389,181,115,50,30,9,3,0,1
S01006558,349,206,96,29,15,3,0,0,0
S01006559,255,105,89,35,24,4,0,0,2
S01006560,458,186,145,48,65,12,3,0,0
S01006561,333,96,119,46,54,17,1,0,0
S01006562,423,156,132,55,61,20,2,0,0
S01006563,413,174,131,53,47,9,2,1,0
S01006564,528,341,116,44,18,6,1,2,0
S01006565,451,315,101,17,11,4,0,1,0
S01006566,461,257,137,40,27,0,0,0,0
S01006567,481,335,112,21,12,2,0,0,0
S01006568,603,417,133,35,9,10,3,0,0
S01006569,289,166,81,18,17,6,1,0,0
S01006570,361,160,113,40,38,6,1,0,0
S01006571,521,205,210,58,33,8,2,1,1
S01006572,377,103,142,53,55,21,1,0,0
S01006573,292,72,107,48,51,9,4,0,1
S01006574,431,150,145,54,53,21,6,2,0
S01006575,408,153,133,52,58,15,1,0,0
S01006576,322,146,78,43,45,6,2,0,0
S01006577,429,241,108,46,23,11,0,0,0
S01006578,636,397,160,48,25,5,1,0,0
S01006579,550,350,145,29,21,2,0,0,0
S01006580,405,255,88,36,16,6,0,0,0
S01006581,390,125,154,51,50,10,0,1,0
S01006582,519,278,178,24,21,11,2,1,0
S01006583,405,214,138,44,6,2,0,0,0
S01006584,398,240,122,21,13,2,0,0,0
S01006585,507,307,130,39,16,10,5,0,0
S01006586,844,616,164,41,9,3,4,0,0
S01006587,390,240,111,21,10,3,1,0,0
S01006588,405,254,109,27,9,6,0,0,0
S01006589,360,191,121,23,18,2,0,2,0
S01006590,399,226,126,27,7,6,5,1,0
S01006591,374,188,126,35,15,12,0,0,0
S01006592,354,167,133,22,27,4,0,0,0
S01006593,364,196,114,30,19,5,0,0,0
S01006594,353,249,76,16,11,1,0,0,0
S01006595,526,315,154,28,22,5,2,0,0
S01006596,400,201,127,32,28,9,1,0,0
S01006597,321,230,74,9,8,0,0,0,0
S01006598,379,115,149,50,49,5,5,0,0
S01006599,521,321,153,34,11,1,0,0,1
S01006600,561,310,160,43,39,3,0,1,0
S01006601,507,283,137,32,31,14,1,4,1
S01006602,408,167,150,47,36,8,0,0,0
S01006603,318,137,96,39,33,8,5,0,3
S01006604,293,98,114,48,27,4,3,1,0
S01006605,357,177,92,46,29,8,0,1,0
S01006606,385,151,150,46,29,6,1,1,0
S01006607,366,117,111,63,54,9,8,1,0
S01006608,1022,256,372,204,160,30,2,0,0
S01006609,436,175,145,74,33,9,1,0,1
S01006610,240,97,87,36,18,2,0,0,0
S01006611,433,173,138,67,40,11,1,0,0
S01006612,358,125,136,57,38,7,1,0,0
S01006613,234,92,82,30,21,8,1,0,0
S01006614,261,80,84,45,39,12,1,1,0
S01006615,264,30,90,54,75,14,3,1,0
S01006616,325,122,127,38,30,4,2,0,0
S01006617,359,126,139,48,40,7,1,0,0
S01006618,225,81,101,27,16,0,0,0,0
S01006619,335,117,109,54,43,9,2,0,1
S01006620,369,126,154,45,31,2,2,0,0
S01006621,231,93,81,25,26,4,1,0,0
S01006622,304,123,111,41,21,7,0,0,0
S01006623,460,163,158,82,45,10,2,0,0
S01006624,548,313,156,30,29,15,0,0,0
S01006625,268,108,104,30,22,2,2,2,0
S01006626,283,153,80,31,14,2,2,0,0
S01006627,454,293,122,34,4,4,0,0,0
S01006628,529,370,112,23,22,5,0,0,0
S01006629,348,119,115,55,37,18,3,0,0
S01006630,303,101,105,42,37,13,4,1,0
S01006631,477,238,132,55,31,11,5,1,0
S01006632,372,203,96,50,18,5,0,0,0
S01006633,280,119,66,33,35,18,4,0,0
S01006634,246,102,67,33,16,14,9,0,0
S01006635,298,122,97,39,27,12,1,4,0
S01006636,388,184,90,48,40,19,4,5,0
S01006637,358,206,103,27,19,2,0,0,0
S01006638,503,328,131,30,6,5,3,0,0
S01006639,614,401,147,46,16,1,1,0,0
S01006640,477,204,172,52,26,17,5,1,0
S01006641,602,339,180,48,28,7,0,0,1
S01006642,495,277,172,35,5,3,1,0,0
S01006643,372,217,114,34,6,1,0,0,0
S01006644,634,299,270,38,19,6,2,1,0
S01006645,361,217,96,27,18,2,1,0,0
S01006646,319,186,88,29,8,6,1,0,0
S01006647,333,174,93,45,14,9,0,1,0
S01006648,608,380,164,34,18,7,0,1,0
S01006649,586,351,150,54,24,6,1,0,0
S01006650,393,224,107,31,16,9,0,0,0
S01006651,348,228,80,28,7,5,1,0,0
S01006652,327,151,135,26,14,1,0,0,0
S01006653,313,153,103,26,16,6,0,2,3
S01006654,467,265,146,39,11,3,2,0,0
S01006655,524,251,178,46,39,9,2,0,0
S01006656,490,256,152,38,39,8,0,0,0
S01006657,256,137,82,23,7,4,1,0,2
S01006658,744,357,215,107,43,16,4,2,0
S01006659,328,158,92,48,21,6,2,0,0
S01006660,226,101,56,30,13,18,4,2,2
S01006661,242,107,79,28,18,6,2,1,0
S01006662,270,110,59,59,19,17,6,2,0
S01006663,239,106,70,29,17,15,2,0,0
S01006664,229,102,84,17,16,4,2,0,0
S01006665,368,205,105,34,16,9,0,1,0
S01006666,671,392,193,56,23,3,0,0,0
S01006667,434,285,101,28,15,3,2,0,0
S01006668,409,198,156,33,11,7,2,0,0
S01006669,429,262,120,31,11,4,1,0,1
S01006670,387,247,118,14,5,1,1,0,0
S01006671,212,96,80,27,10,1,0,0,1
S01006672,340,171,91,39,25,6,5,0,0
S01006673,387,200,127,34,23,2,0,0,0
S01006674,499,326,113,40,17,1,2,0,0
S01006675,341,119,97,61,44,11,7,1,0
S01006676,321,165,85,48,21,5,1,0,0
S01006677,544,264,169,63,31,13,4,0,0
S01006678,727,290,210,122,68,26,11,0,0
S01006679,307,125,131,33,16,2,0,0,0
S01006680,439,207,106,65,53,6,2,1,0
S01006681,458,286,115,31,16,3,1,2,0
S01006682,376,149,88,51,55,22,8,3,0
S01006683,364,130,94,61,46,19,12,2,0
S01006684,390,241,94,27,21,4,3,0,1
S01006685,341,200,93,30,9,0,0,1,0
S01006686,263,127,92,28,12,3,2,0,0
S01006687,402,188,147,37,27,0,1,0,0
S01006688,495,269,147,39,28,12,0,0,0
S01006689,535,219,177,69,46,19,6,0,3
S01006690,299,139,87,45,20,6,0,0,0
S01006691,338,152,120,42,15,12,0,0,0
S01006692,339,143,131,24,24,11,1,2,0
S01006693,548,274,162,62,34,13,3,0,0
S01006694,530,311,137,45,29,8,0,0,0
S01006695,321,120,106,41,37,13,3,0,1
S01006696,365,163,100,51,34,13,3,0,0
S01006697,399,176,141,45,24,10,2,0,1
S01006698,396,248,90,33,18,3,2,0,4
S01006699,196,73,74,19,22,7,0,0,0
S01006700,393,192,126,26,36,11,2,0,0
S01006701,316,129,109,53,21,7,0,0,0
S01006702,328,106,131,40,33,12,2,1,0
S01006703,280,110,90,47,28,6,2,0,0
S01006704,275,131,86,31,21,5,1,0,0
S01006705,404,171,122,68,36,5,0,1,0
S01006706,273,104,75,59,24,9,2,0,0
S01006707,220,73,88,33,24,1,1,0,0
S01006708,374,147,116,66,37,8,0,1,0
S01006709,435,199,127,55,40,15,3,0,0
S01006710,413,154,164,67,22,8,1,0,0
S01006711,445,217,127,52,41,4,0,0,0
S01006712,248,89,103,32,18,5,4,0,0
S01006713,448,174,156,65,43,9,1,0,0
S01006714,309,129,93,39,34,13,0,0,0
S01006715,212,40,62,56,36,13,4,1,0
S01006716,234,70,74,46,29,12,3,0,1
S01006717,426,162,139,58,55,9,2,2,0
S01006718,246,54,97,53,26,9,3,0,1
S01006719,374,87,128,69,67,16,6,0,0
S01006720,258,78,96,41,23,13,7,0,0
S01006721,338,106,124,56,38,11,2,1,0
S01006722,293,90,103,48,42,11,5,1,0
S01006723,275,98,90,43,36,4,3,0,0
S01006724,314,70,92,66,60,16,3,2,0
S01006725,267,79,88,40,45,12,5,0,0
S01006726,262,68,75,73,30,12,4,0,0
S01006727,469,188,117,88,43,17,11,4,2
S01006728,331,97,122,63,40,11,0,0,0
S01006729,436,149,110,75,55,39,10,0,0
S01006730,266,53,101,60,34,16,2,1,0
S01006731,261,121,76,34,24,5,1,0,0
S01006732,738,226,297,98,89,21,5,0,0
S01006733,323,50,124,62,65,14,4,0,0
S01006734,355,86,107,65,78,12,0,0,0
S01006735,243,77,103,26,30,3,1,0,0
S01006736,397,73,114,104,89,12,3,2,0
S01006737,643,140,257,113,105,19,1,4,0
S01006738,863,428,265,82,63,19,5,0,0
S01006739,812,301,243,127,101,25,8,5,0
S01006740,329,133,99,53,32,9,4,0,0
S01006741,336,153,102,41,31,5,0,0,0
S01006742,227,108,61,29,23,3,4,0,1
S01006743,440,191,154,46,39,14,0,0,0
S01006744,291,141,103,30,13,3,1,0,0
S01006745,463,210,142,73,30,4,3,2,0
S01006746,387,139,133,62,45,11,0,0,0
S01006747,483,130,170,88,72,18,4,0,0
S01006748,791,336,259,109,57,21,9,0,0
S01006749,411,143,150,59,37,15,1,1,0
S01006750,284,88,119,39,26,12,1,0,0
S01006751,195,69,72,25,24,2,0,0,0
S01006752,330,137,104,47,24,13,0,0,0
S01006753,446,168,159,51,51,10,4,0,0
S01006754,396,131,167,48,42,6,0,1,0
S01006755,300,86,106,50,48,8,1,7,1
S01006756,280,103,72,38,42,20,6,2,0
S01006757,342,127,124,46,38,4,0,0,0
S01006758,308,114,130,29,26,7,1,0,0
S01006759,247,89,96,26,29,4,1,0,0
S01006760,251,105,94,29,14,2,0,0,0
S01006761,333,112,162,34,22,3,0,0,0
S01006762,745,251,262,96,107,18,6,1,0
S01006763,342,91,116,63,50,18,3,2,0
S01006764,347,140,118,46,36,7,0,0,0
S01006765,277,122,86,33,24,6,5,1,0
S01006766,237,59,97,31,36,9,2,0,0
S01006767,285,87,105,45,34,10,1,0,0
S01006768,213,21,99,47,34,5,2,0,0
S01006769,393,114,156,54,55,11,2,0,0
S01006770,269,67,124,34,27,12,5,0,0
S01006771,150,28,55,30,27,10,3,0,0
S01006772,371,132,150,40,38,6,5,0,0
S01006773,338,91,125,56,48,13,3,0,0
S01006774,221,43,102,41,29,8,0,2,0
S01006775,466,210,128,67,50,11,2,1,0
S01006776,296,158,93,20,18,6,1,0,0
S01006777,261,60,128,29,35,7,2,0,0
S01006778,287,100,120,39,23,4,0,0,0
S01006779,258,105,81,41,24,6,0,1,0
S01006780,226,81,82,35,20,6,1,1,0
S01006781,272,84,108,43,27,6,4,0,0
S01006782,392,146,142,47,44,11,0,1,0
S01006783,255,103,108,23,19,0,0,0,0
S01006784,283,118,105,31,25,5,0,0,0
S01006785,217,45,88,46,29,5,0,0,0
S01006786,330,85,131,53,44,9,4,0,2
S01006787,280,86,120,35,25,12,1,0,0
S01006788,874,223,262,170,170,39,9,1,0
S01006789,291,110,125,31,21,3,0,2,0
S01006790,456,212,170,42,23,3,5,1,0
S01006791,289,96,119,31,33,9,1,0,0
S01006792,188,51,83,26,18,7,4,1,0
S01006793,289,112,111,23,34,7,0,0,0
S01006794,283,116,100,29,23,10,2,0,2
S01006795,337,110,125,36,53,11,2,0,0
S01006796,379,71,150,67,63,25,3,1,0
S01006797,246,58,112,38,23,7,1,0,0
S01006798,260,49,124,39,38,10,1,0,0
S01006799,421,175,144,47,41,15,1,1,0
S01006800,342,60,153,52,54,13,6,2,1
S01006801,543,115,216,84,98,27,3,0,0
S01006802,330,103,116,31,52,26,1,1,0
S01006803,315,132,113,30,25,13,3,0,0
S01006804,308,71,110,59,49,10,4,0,0
S01006805,458,127,163,76,60,19,10,3,0
S01006806,472,108,207,63,72,17,5,0,0
S01006807,271,65,106,33,44,11,6,1,1
S01006808,271,45,106,47,49,23,0,0,0
S01006809,390,123,158,50,36,14,7,2,0
S01006810,399,127,155,58,45,12,8,0,0
S01006811,444,97,160,86,72,18,10,5,0
S01006812,352,80,128,54,73,11,4,4,0
S01006813,369,123,122,53,51,21,2,0,0
S01006814,306,58,132,46,52,17,1,2,0
S01006815,305,136,89,41,30,5,4,0,0
S01006816,291,121,92,40,25,9,3,1,0
S01006817,335,86,118,52,49,23,5,1,0
S01006818,325,67,139,44,62,11,4,0,0
S01006819,455,93,169,86,78,22,1,5,0
S01006820,314,92,119,47,50,4,1,0,0
S01006821,739,160,241,158,150,24,8,1,0
S01006822,418,60,166,88,82,12,10,0,2
S01006823,310,117,115,43,27,7,0,0,0
S01006824,382,141,111,62,42,16,1,2,0
S01006825,325,96,129,49,38,11,1,0,0
S01006826,358,89,138,71,46,11,0,0,0
S01006827,408,196,106,62,34,9,2,0,0
S01006828,457,229,153,38,30,4,0,0,0
S01006829,141,22,40,25,40,9,3,0,0
S01006830,311,98,136,39,29,6,3,1,0
S01006831,219,61,106,27,22,3,0,0,1
S01006832,436,153,163,62,51,6,0,0,0
S01006833,191,45,87,22,25,12,0,0,0
S01006834,164,27,47,42,36,14,2,0,0
S01006835,485,301,116,38,26,5,1,0,0
S01006836,234,77,77,27,41,11,0,0,0
S01006837,229,58,85,47,33,5,1,0,0
S01006838,251,56,106,33,49,8,0,0,1
S01006839,397,137,168,47,29,12,0,0,0
S01006840,397,58,149,67,99,20,0,0,0
S01006841,319,68,114,69,59,8,1,0,0
S01006842,305,74,134,46,40,10,1,0,0
S01006843,316,60,149,54,43,10,0,0,0
S01006844,325,147,129,14,25,7,1,0,0
S01006845,371,105,142,59,52,10,2,0,0
S01006846,242,98,94,25,20,4,0,1,0
S01006847,245,53,103,43,38,9,2,0,0
S01006848,658,128,217,139,138,29,4,0,1
S01006849,664,60,166,153,192,68,20,5,0
S01006850,370,94,125,76,50,20,2,2,0
S01006851,337,116,118,63,29,7,6,2,0
S01006852,230,49,97,25,40,12,2,0,0
S01006853,372,69,152,60,54,27,7,3,0
S01006854,402,111,174,51,44,15,7,0,0
S01006855,330,57,146,55,45,24,2,0,0
S01006856,295,67,107,48,56,16,0,1,0
S01006857,488,109,179,72,89,26,7,1,1
S01006858,251,46,102,51,29,19,4,0,0
S01006859,414,104,179,53,61,10,3,0,0
S01006860,234,116,76,30,9,2,0,0,0
S01006861,199,26,70,33,57,15,0,0,0
S01006862,345,124,133,41,39,8,0,0,0
S01006863,306,127,91,41,36,8,0,0,0
S01006864,284,74,71,53,64,16,6,3,0
S01006865,480,204,171,46,44,14,3,0,0
S01006866,218,50,99,26,28,13,1,0,0
S01006867,308,87,141,43,30,6,0,1,0
S01006868,363,123,129,56,38,14,1,0,0
S01006869,207,58,71,22,43,7,1,0,0
S01006870,203,56,89,33,22,3,0,0,0
S01006871,266,70,91,57,38,12,0,0,0
S01006872,442,56,158,87,106,30,7,0,0
S01006873,478,163,187,47,60,16,1,0,0
S01006874,235,55,106,36,27,8,2,0,1
S01006875,335,131,116,30,44,12,3,1,0
S01006876,421,121,165,50,66,14,4,0,2
S01006877,390,88,173,52,49,21,2,0,0
S01006878,330,131,112,40,35,6,4,1,2
S01006879,325,101,138,40,30,10,6,0,0
S01006880,286,47,115,53,60,9,3,0,0
S01006881,237,53,113,23,33,11,4,2,0
S01006882,156,57,57,23,12,5,1,0,0
S01006883,219,96,75,22,20,6,0,0,0
S01006884,440,179,163,36,58,8,0,0,0
S01006885,457,112,157,76,81,23,5,0,0
S01006886,435,98,181,75,59,13,3,2,0
S01006887,290,61,109,44,61,13,1,0,0
S01006888,363,78,145,57,62,21,3,0,0
S01006889,347,117,117,64,29,14,3,0,0
S01006890,260,80,99,43,32,7,2,0,0
S01006891,434,145,151,69,54,12,3,0,0
S01006892,280,112,92,36,27,9,3,2,0
S01006893,198,55,72,34,27,7,3,3,1
S01006894,470,192,192,35,43,10,1,0,0
S01006895,306,143,95,34,27,6,2,0,0
S01006896,383,161,127,49,36,4,5,0,0
S01006897,298,89,124,42,30,6,2,0,0
S01006898,357,119,148,51,31,7,0,0,0
S01006899,240,65,95,40,29,9,0,0,0
S01006900,221,61,108,30,20,4,0,0,0
S01006901,277,122,95,33,21,4,3,0,1
S01006902,297,127,105,25,25,12,5,0,0
S01006903,396,140,139,66,41,16,1,3,0
S01006904,311,126,120,37,17,9,0,2,0
S01006905,415,155,156,57,35,11,3,1,0
S01006906,437,238,127,34,30,8,1,0,1
S01006907,417,227,139,28,16,7,0,0,0
S01006908,435,232,131,37,25,8,5,0,0
S01006909,461,84,156,97,108,13,3,3,0
S01006910,425,90,181,70,69,18,3,1,0
S01006911,254,30,71,47,83,22,5,0,0
S01006912,367,74,158,59,63,9,2,1,0
S01006913,940,174,296,188,223,51,13,1,0
S01006914,281,50,128,48,40,11,3,0,0
S01006915,341,66,141,45,65,15,3,2,0
S01006916,204,43,76,40,32,9,3,0,0
S01006917,324,27,66,72,132,24,0,0,0
S01006918,188,40,70,29,36,9,3,2,0
S01006919,200,61,89,25,15,5,0,1,0
S01006920,241,127,66,24,16,5,3,0,0
S01006921,274,28,90,64,76,17,2,0,0
S01006922,269,42,114,35,54,16,4,1,1
S01006923,377,139,148,44,35,8,1,0,0
S01006924,227,47,101,32,37,9,0,0,0
S01006925,200,58,92,25,18,3,1,0,0
S01006926,261,36,83,52,79,10,6,0,0
S01006927,369,43,78,105,107,29,5,0,0
S01006928,451,127,141,74,69,31,8,1,1
S01006929,289,28,133,46,61,16,4,0,1
S01006930,361,77,176,49,49,8,0,0,0
S01006931,148,44,57,21,28,2,0,0,0
S01006932,439,84,115,86,118,29,2,0,0
S01006933,220,51,105,29,29,5,1,0,0
S01006934,452,109,155,66,102,23,2,3,0
S01006935,307,97,132,35,33,4,3,0,0
S01006936,273,99,101,32,34,4,3,0,0
S01006937,341,135,108,53,38,4,0,2,1
S01006938,232,109,83,23,17,8,0,0,0
S01006939,238,51,107,36,41,5,1,0,1
S01006940,392,128,152,48,50,13,4,1,0
S01006941,241,73,75,39,39,10,3,0,0
S01006942,375,90,140,65,62,15,1,0,0
S01006943,210,19,53,40,84,11,2,0,0
S01006944,438,105,118,75,119,16,6,0,0
S01006945,201,63,82,27,18,6,4,0,0
S01006946,280,71,103,49,42,15,0,0,0
S01006947,311,60,106,65,67,15,2,0,0
S01006948,390,101,154,57,57,11,5,1,0
S01006949,274,51,121,40,41,18,3,0,0
S01006950,306,62,98,58,79,9,0,0,0
S01006951,203,65,80,31,24,3,0,0,0
S01006952,383,92,172,56,43,18,0,1,0
S01006953,305,65,106,57,57,16,3,0,0
S01006954,370,86,152,52,54,16,6,0,0
S01006955,261,99,88,33,31,9,1,0,0
S01006956,394,66,159,81,69,16,6,0,0
S01006957,402,81,143,75,70,25,5,1,3
S01006958,679,256,253,86,72,12,0,0,0
S01006959,363,186,103,30,27,8,2,3,0
S01006960,326,45,92,66,89,28,3,0,0
S01006961,324,49,89,70,86,24,7,0,0
S01006962,420,152,190,41,29,7,1,0,0
S01006963,285,81,110,49,38,5,1,0,2
S01006964,346,135,121,52,32,3,0,0,0
S01006965,216,81,83,25,19,6,2,0,0
S01006966,245,85,75,46,27,13,2,1,0
S01006967,262,62,111,40,36,13,0,0,0
S01006968,189,58,73,30,20,8,2,1,0
S01006969,402,166,152,51,20,8,2,0,0
S01006970,269,49,127,34,45,9,0,0,0
S01006971,264,109,91,31,29,0,0,0,0
S01006972,278,42,109,55,58,9,3,1,0
S01006973,329,70,130,54,51,22,4,0,0
S01006974,411,81,194,65,51,14,2,2,0
S01006975,436,96,190,68,58,16,4,2,2
S01006976,185,34,75,37,29,8,3,0,0
S01006977,307,66,124,44,53,15,2,2,1
S01006978,440,130,165,54,66,19,4,0,0
S01006979,433,123,157,63,69,16,2,4,0
S01006980,373,85,160,47,63,14,4,0,0
S01006981,329,74,134,51,55,9,1,1,1
S01006982,381,97,138,60,70,14,2,0,0
S01006983,285,64,117,44,49,12,0,1,0
S01006984,377,78,129,81,70,14,5,0,1
S01006985,460,149,183,63,48,17,2,0,0
S01006986,282,51,84,61,66,16,1,0,0
S01006987,313,106,129,42,29,4,2,0,0
S01006988,187,33,68,36,39,9,6,0,0
S01006989,496,81,202,86,94,25,9,0,0
S01006990,295,33,95,69,85,13,3,1,0
S01006991,221,99,71,23,23,4,1,0,0
S01006992,255,46,127,36,33,8,2,2,0
S01006993,210,30,97,39,26,17,3,0,0
S01006994,236,58,98,41,30,13,0,0,0
S01006995,357,86,131,63,57,19,9,0,0
S01006996,373,77,136,66,66,24,3,0,1
S01006997,313,65,114,56,63,16,5,0,0
S01006998,578,156,229,75,94,19,4,4,0
S01006999,358,78,160,58,43,14,4,1,0
S01007000,422,142,145,51,56,22,6,0,0
S01007001,460,145,175,61,59,17,2,2,0
S01007002,249,52,101,34,37,15,4,1,1
S01007003,214,44,87,29,42,6,2,1,0
S01007004,330,88,128,50,43,11,8,1,0
S01007005,369,63,180,49,53,19,3,2,0
S01007006,398,128,165,50,42,11,2,1,0
S01007007,352,86,164,53,35,11,2,0,1
S01007008,469,185,165,63,40,18,0,1,0
S01007009,517,219,187,47,41,14,4,1,0
S01007010,398,197,126,30,28,6,5,4,0
S01007011,469,282,114,40,24,9,3,1,0
S01007012,319,121,114,38,35,9,3,1,0
S01007013,205,39,87,30,30,13,5,2,0
S01007014,415,81,184,50,69,29,4,2,0
S01007015,258,59,108,39,28,15,8,1,0
S01007016,228,36,106,37,31,16,2,0,0
S01007017,513,234,169,66,32,10,3,0,0
S01007018,382,104,174,50,41,12,1,0,0
S01007019,287,129,101,28,23,6,0,0,0
S01007020,380,213,109,23,30,2,0,1,0
S01007021,381,134,136,46,53,8,1,2,2
S01007022,210,72,76,23,30,7,1,0,0
S01007023,216,55,103,26,16,6,3,1,0
S01007024,440,123,189,56,43,25,3,0,0
S01007025,417,180,124,44,43,17,4,1,0
S01007026,451,199,163,45,35,12,0,0,0
S01007027,512,194,193,54,38,18,7,0,0
S01007028,514,144,191,81,75,15,5,3,0
S01007029,228,51,87,35,41,7,2,2,1
S01007030,373,131,141,42,44,12,5,0,0
S01007031,281,106,99,31,29,13,1,2,0
S01007032,552,306,165,40,27,11,5,0,0
S01007033,289,111,101,39,31,7,0,1,0
S01007034,254,102,87,26,26,8,2,0,0
S01007035,410,164,147,44,43,9,3,0,0
S01007036,401,143,160,37,46,13,1,0,1
S01007037,435,177,152,49,45,11,1,0,0
S01007038,307,135,91,45,23,14,2,0,0
S01007039,446,149,143,73,60,18,1,3,0
S01007040,291,116,103,31,35,6,1,0,0
S01007041,339,133,107,47,40,9,1,0,0
S01007042,332,96,131,41,42,14,4,3,0
S01007043,389,98,160,48,49,19,6,1,1
S01007044,321,116,128,42,28,3,2,0,0
S01007045,336,66,161,56,27,18,5,1,0
S01007046,256,94,91,31,20,13,9,0,1
S01007047,274,80,118,40,24,11,1,0,0
S01007048,344,76,160,44,50,11,5,0,1
S01007049,419,154,134,57,53,10,8,4,2
S01007050,314,120,102,42,32,15,0,0,0
S01007051,344,127,112,41,41,20,2,0,0
S01007052,405,83,164,74,62,25,4,0,0
S01007053,211,46,84,22,43,8,4,1,0
S01007054,469,188,163,54,49,12,3,0,0
S01007055,237,47,98,33,41,11,3,2,0
S01007056,271,52,115,50,39,8,2,0,0
S01007057,253,94,99,34,22,3,1,0,0
S01007058,283,138,88,25,20,5,4,1,0
S01007059,482,177,169,66,51,17,3,0,0
S01007060,204,53,70,46,22,10,2,4,0
S01007061,367,77,130,72,61,24,0,0,0
S01007062,282,55,122,43,47,10,7,0,0
S01007063,293,91,106,42,44,2,6,2,0
S01007064,386,66,158,70,66,22,0,1,0
S01007065,285,76,136,37,29,11,1,0,0
S01007066,367,100,137,57,52,18,4,2,0
S01007067,250,95,109,29,16,1,0,0,0
S01007068,288,80,113,57,28,9,1,0,0
S01007069,346,93,125,61,48,10,8,4,0
S01007070,244,102,87,26,23,8,0,1,0
S01007071,353,109,132,61,33,16,0,1,0
S01007072,269,69,104,45,44,10,0,0,0
S01007073,346,98,129,58,46,10,5,0,0
S01007074,271,94,95,48,27,10,0,0,0
S01007075,335,132,108,50,35,10,2,0,0
S01007076,292,83,116,40,32,15,3,1,0
S01007077,347,122,143,33,41,7,2,0,0
S01007078,360,140,129,46,34,7,2,0,1
S01007079,493,256,132,61,31,10,3,0,0
S01007080,383,167,131,39,28,19,3,0,0
S01007081,346,127,121,48,45,8,0,0,0
S01007082,254,116,65,43,21,4,4,0,0
S01007083,522,274,117,71,46,10,1,0,1
S01007084,270,115,102,22,24,6,0,1,0
S01007085,475,248,115,63,29,17,6,2,0
S01007086,604,327,140,75,35,16,6,2,2
S01007087,517,302,127,50,24,13,4,1,0
S01007088,272,123,83,33,18,9,3,0,0
S01007089,220,63,101,26,25,3,2,0,0
S01007090,243,115,82,29,15,0,0,0,0
S01007091,315,66,98,63,61,22,5,1,0
S01007092,304,149,100,35,14,8,2,0,0
S01007093,410,151,163,41,39,9,3,0,1
S01007094,360,89,137,56,62,11,4,0,1
S01007095,227,51,98,27,32,14,6,0,0
S01007096,363,83,124,55,80,16,2,0,0
S01007097,908,196,293,156,193,53,13,0,0
S01007098,420,71,146,86,79,32,7,0,0
S01007099,360,94,134,46,67,16,3,0,0
S01007100,305,77,133,33,35,17,6,1,1
S01007101,342,120,118,43,45,9,5,0,0
S01007102,295,82,109,42,44,15,4,0,1
S01007103,366,113,123,67,36,21,2,0,1
S01007104,253,68,109,32,33,11,3,1,0
S01007105,243,95,80,30,36,8,2,0,0
S01007106,307,119,105,45,25,14,1,0,0
S01007107,310,73,124,46,44,19,4,0,0
S01007108,511,92,200,85,87,37,8,1,1
S01007109,375,140,119,54,33,20,5,2,1
S01007110,343,113,115,53,48,11,3,0,0
