Data Zone 2011,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
S01012501,245,42,5,18,17,203,199,0,1,0
S01012502,337,111,12,72,27,226,226,0,0,0
S01012503,285,173,6,99,65,112,111,0,1,0
S01012504,331,193,24,104,65,135,137,0,0,0
S01012505,513,218,22,145,50,295,287,8,0,0
S01012506,307,183,83,61,37,122,113,5,1,0
S01012507,437,206,18,126,58,231,225,5,1,0
S01012508,433,262,52,159,51,171,165,1,0,0
S01012509,251,191,20,104,67,60,58,2,0,0
S01012510,422,356,55,246,55,66,66,0,0,0
S01012511,246,197,13,108,76,53,46,3,0,0
S01012512,194,165,62,93,11,31,31,1,0,0
S01012513,221,209,118,69,25,12,12,0,0,0
S01012514,413,374,97,221,56,39,38,1,0,0
S01012515,342,227,24,83,120,118,111,1,1,0
S01012516,348,308,53,185,70,41,39,1,1,0
S01012517,501,255,103,104,48,246,241,5,0,0
S01012518,271,183,59,76,50,88,73,13,0,0
S01012519,272,208,55,58,95,61,52,5,1,0
S01012520,332,231,55,124,51,100,70,30,0,0
S01012521,247,161,38,90,35,86,74,6,6,0
S01012522,400,347,164,148,35,53,41,11,0,0
S01012523,352,335,90,162,82,14,9,6,2,0
S01012524,458,338,108,199,31,120,113,7,0,0
S01012525,334,304,77,158,69,30,22,4,2,0
S01012526,341,313,167,139,7,28,26,2,0,0
S01012527,314,278,106,169,7,32,32,0,0,0
S01012528,336,292,8,152,133,44,44,0,0,0
S01012529,267,215,30,74,111,52,51,1,0,0
S01012530,398,381,139,198,45,17,16,0,1,0
S01012531,440,394,198,120,76,44,35,12,0,0
S01012532,442,399,189,88,126,43,34,8,0,0
S01012533,253,129,31,9,90,124,121,3,0,0
S01012534,289,182,46,72,64,107,107,0,0,0
S01012535,361,197,44,117,36,161,161,0,0,0
S01012536,355,308,95,149,64,46,46,1,0,0
S01012537,318,300,31,127,137,18,12,0,4,0
S01012538,504,397,129,127,140,96,96,0,0,11
S01012539,276,248,52,95,101,24,23,0,0,4
S01012540,302,256,21,149,87,44,41,3,0,0
S01012541,487,405,183,133,89,81,76,5,0,1
S01012542,565,538,283,127,128,28,28,0,0,0
S01012543,294,285,161,50,74,8,3,5,0,1
S01012544,358,333,158,84,93,23,22,1,0,0
S01012545,213,178,31,57,94,37,34,0,0,0
S01012546,352,338,127,30,181,14,14,0,0,0
S01012547,293,288,172,61,59,5,5,0,0,0
S01012548,821,782,482,199,101,39,37,2,0,0
S01012549,223,132,7,63,57,93,92,2,0,0
S01012550,346,260,48,139,73,84,83,0,0,0
