Data Zone 2011,All occupied households,Whole house or bungalow: Total,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Total","Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
S01006506,491,236,133,68,37,256,213,32,7,1
S01006507,366,293,84,66,143,72,72,0,0,1
S01006508,292,81,33,25,26,211,204,10,0,0
S01006509,270,185,36,73,70,88,88,0,0,0
S01006510,297,182,47,112,26,115,114,5,0,0
S01006511,310,292,92,179,21,18,14,3,1,0
S01006512,255,213,168,29,16,4,1,1,0,38
S01006513,417,340,145,160,36,75,75,0,0,0
S01006514,376,357,276,75,3,19,16,3,0,0
S01006515,279,267,194,65,5,9,8,1,0,1
S01006516,196,188,117,50,21,8,7,1,0,0
S01006517,831,713,374,195,143,118,110,6,2,0
S01006518,250,240,212,26,2,10,5,3,1,0
S01006519,292,287,259,18,10,5,4,1,0,0
S01006520,231,221,208,7,3,10,10,0,0,0
S01006521,288,260,163,57,40,28,22,5,0,0
S01006522,268,258,126,119,15,8,3,8,0,0
S01006523,410,243,84,134,27,170,152,17,2,0
S01006524,385,231,161,58,16,154,147,5,1,0
S01006525,367,289,182,57,53,75,69,5,1,0
S01006526,435,223,15,77,134,212,210,2,0,0
S01006527,340,295,40,149,106,43,43,1,0,0
S01006528,487,315,18,145,152,172,166,7,0,0
S01006529,516,130,9,86,35,385,368,16,1,0
S01006530,348,171,3,117,48,181,175,6,0,0
S01006531,416,174,15,73,82,246,236,10,0,0
S01006532,310,224,43,138,43,86,76,13,0,0
S01006533,324,247,52,100,95,77,56,20,1,0
S01006534,412,251,43,116,92,161,128,33,0,0
S01006535,588,168,28,72,65,420,380,41,5,0
S01006536,514,105,14,31,59,411,352,55,3,0
S01006537,349,317,76,214,27,32,29,2,0,0
S01006538,242,238,56,166,17,3,3,0,0,0
S01006539,343,278,19,214,43,69,55,10,0,0
S01006540,429,320,40,266,18,109,107,3,0,0
S01006541,428,350,46,257,47,78,71,6,2,0
S01006542,517,362,109,240,13,156,155,0,0,0
S01006543,360,356,17,327,12,4,4,0,0,0
S01006544,516,261,98,109,54,253,228,17,7,0
S01006545,567,307,74,159,67,263,256,6,1,0
S01006546,264,244,52,187,1,23,23,0,0,0
S01006547,1008,718,419,164,135,289,279,7,1,1
S01006548,310,303,24,277,2,9,6,2,0,0
S01006549,399,317,168,142,7,78,72,6,1,0
S01006550,386,378,147,220,11,8,7,3,0,0
S01006551,320,169,33,42,94,151,143,8,0,0
S01006552,458,338,101,167,70,124,124,0,0,0
S01006553,398,327,150,87,90,71,70,1,0,0
S01006554,380,202,67,81,54,178,179,1,2,0
S01006555,234,105,11,56,41,132,132,0,0,0
S01006556,391,237,15,94,128,153,149,2,2,0
S01006557,389,189,17,48,124,204,199,0,2,0
S01006558,349,97,9,11,77,248,211,41,0,0
S01006559,255,121,16,61,44,138,101,35,1,0
S01006560,458,232,29,113,90,225,173,52,0,2
S01006561,333,249,44,121,81,84,64,20,0,0
S01006562,423,290,124,107,59,133,126,5,0,0
S01006563,413,218,26,107,85,197,172,22,1,0
S01006564,528,25,7,11,14,499,490,8,1,0
S01006565,451,23,1,9,11,425,409,13,2,0
S01006566,461,106,6,39,60,356,313,42,1,0
S01006567,481,24,7,7,10,457,423,29,5,0
S01006568,603,34,3,22,8,569,541,25,6,0
S01006569,289,73,2,18,51,216,189,26,2,0
S01006570,361,155,32,92,31,206,166,39,1,0
S01006571,521,217,13,54,150,304,220,70,10,0
S01006572,377,286,215,54,15,91,56,33,4,0
S01006573,292,185,20,94,75,107,75,35,1,0
S01006574,431,235,83,92,60,196,133,62,1,0
S01006575,408,234,23,119,92,174,138,34,3,1
S01006576,322,181,14,131,36,143,119,25,2,0
S01006577,429,115,10,41,64,314,281,30,2,0
S01006578,636,64,2,12,49,572,548,24,0,0
S01006579,550,27,6,12,9,520,498,16,4,0
S01006580,405,82,5,16,61,321,290,32,1,0
S01006581,390,265,67,143,55,125,101,24,0,0
S01006582,519,40,3,9,28,479,432,36,11,0
S01006583,405,6,0,1,0,398,397,3,1,0
S01006584,398,32,4,8,20,366,329,30,7,0
S01006585,507,27,2,8,15,480,453,17,10,0
S01006586,844,28,4,13,11,816,734,31,47,0
S01006587,390,20,4,6,6,374,339,24,11,0
S01006588,405,16,7,2,7,389,349,11,28,0
S01006589,360,14,3,10,1,346,338,4,6,0
S01006590,399,34,10,10,14,365,316,42,7,0
S01006591,374,48,3,7,38,326,304,21,0,0
S01006592,354,72,7,32,33,282,259,23,0,0
S01006593,364,54,6,8,38,310,274,35,1,0
S01006594,353,61,8,41,12,292,289,0,2,0
S01006595,526,61,6,15,40,465,447,17,2,0
S01006596,400,108,9,47,51,288,246,42,4,0
S01006597,321,13,1,7,5,308,300,12,1,0
S01006598,379,262,34,163,67,117,89,28,0,0
S01006599,521,85,19,47,19,436,421,15,0,0
S01006600,561,206,15,92,95,355,330,22,0,0
S01006601,507,212,9,156,45,294,269,25,0,1
S01006602,408,201,63,77,65,210,173,32,2,0
S01006603,318,208,21,61,122,113,107,3,4,0
S01006604,293,247,6,68,173,44,42,1,0,0
S01006605,357,127,10,62,53,230,227,3,0,0
S01006606,385,245,43,187,15,139,135,3,1,1
S01006607,366,200,11,87,102,166,164,1,0,0
S01006608,1022,829,356,188,285,190,178,8,7,1
S01006609,436,339,11,103,225,102,101,2,0,0
S01006610,240,145,6,46,93,95,95,2,0,0
S01006611,433,282,11,93,178,150,148,1,1,2
S01006612,358,337,96,64,177,24,25,2,0,0
S01006613,234,177,108,62,7,57,56,1,0,0
S01006614,261,257,65,140,52,4,3,1,0,0
S01006615,264,265,198,61,6,2,2,0,0,0
S01006616,325,248,79,121,43,80,78,2,0,0
S01006617,359,331,106,90,134,28,23,4,1,0
S01006618,225,198,84,105,10,27,25,0,2,0
S01006619,335,294,68,57,165,41,38,3,0,0
S01006620,369,348,31,118,199,20,18,1,1,0
S01006621,231,200,6,54,139,32,30,2,0,0
S01006622,304,220,19,113,88,84,81,3,1,0
S01006623,460,120,18,66,39,338,333,1,0,0
S01006624,548,107,4,60,43,441,428,12,1,0
S01006625,268,115,10,83,25,153,144,9,0,0
S01006626,283,45,5,38,2,238,231,3,0,0
S01006627,454,30,3,17,10,424,400,27,0,0
S01006628,529,24,4,9,12,505,476,22,9,2
S01006629,348,97,10,75,12,251,243,8,0,0
S01006630,303,160,11,100,49,143,138,4,0,0
S01006631,477,148,19,73,56,328,307,20,0,0
S01006632,372,25,9,12,7,347,343,1,0,0
S01006633,280,148,14,60,75,131,120,11,0,0
S01006634,246,85,11,32,39,160,152,7,1,1
S01006635,298,98,12,28,58,200,188,11,1,0
S01006636,388,63,8,18,39,325,318,7,0,0
S01006637,358,86,11,12,62,273,262,8,0,0
S01006638,503,19,1,10,8,484,461,23,0,0
S01006639,614,52,6,16,26,566,542,11,10,0
S01006640,477,19,5,4,12,457,455,3,0,0
S01006641,602,34,3,5,25,568,551,18,1,0
S01006642,495,23,5,10,9,476,453,16,3,0
S01006643,372,16,8,1,7,360,352,7,0,0
S01006644,634,12,4,4,4,622,619,3,0,0
S01006645,361,10,2,4,4,351,346,4,5,0
S01006646,319,4,3,1,0,314,296,6,14,0
S01006647,333,22,7,6,9,311,305,2,4,0
S01006648,608,16,1,12,6,592,558,17,17,0
S01006649,586,21,4,8,9,565,552,11,2,0
S01006650,393,55,9,23,23,338,304,33,0,0
S01006651,348,17,3,7,7,331,312,14,5,0
S01006652,327,20,0,7,12,307,295,9,5,0
S01006653,313,97,12,54,29,218,198,20,0,0
S01006654,467,46,13,14,22,424,412,8,0,1
S01006655,524,141,9,15,117,384,364,19,1,0
S01006656,490,42,13,10,19,448,404,42,2,0
S01006657,256,20,4,5,11,236,218,17,1,0
S01006658,744,35,7,14,14,709,676,32,0,0
S01006659,328,95,7,65,25,233,163,74,0,0
S01006660,226,10,0,3,5,215,200,15,0,2
S01006661,242,117,5,48,64,125,100,25,0,0
S01006662,270,40,3,13,24,230,221,9,0,0
S01006663,239,82,14,20,48,157,128,28,1,0
S01006664,229,53,12,20,21,175,156,16,3,1
S01006665,368,66,14,37,17,302,271,29,2,0
S01006666,671,25,6,14,9,639,631,7,1,0
S01006667,434,12,4,6,2,422,416,3,3,0
S01006668,409,9,3,1,5,397,387,8,2,0
S01006669,429,85,27,35,25,344,319,23,2,0
S01006670,387,11,0,6,5,373,363,9,3,0
S01006671,212,56,22,16,18,159,150,4,1,0
S01006672,340,58,7,31,17,282,267,15,0,0
S01006673,387,54,29,17,8,336,321,7,5,0
S01006674,499,19,7,7,3,480,476,5,0,0
S01006675,341,33,3,17,16,308,304,4,0,0
S01006676,321,85,1,36,46,236,235,0,0,0
S01006677,544,107,6,35,66,434,425,5,4,0
S01006678,727,253,24,78,155,474,464,8,4,0
S01006679,307,234,33,135,66,73,67,6,0,0
S01006680,439,56,4,16,36,384,380,4,0,0
S01006681,458,106,17,38,52,352,352,3,0,0
S01006682,376,43,6,18,15,333,327,6,0,0
S01006683,364,58,11,33,14,306,289,16,2,0
S01006684,390,63,17,30,16,327,299,20,7,0
S01006685,341,18,5,7,5,321,320,0,1,0
S01006686,263,17,2,7,6,246,242,6,0,0
S01006687,402,15,3,7,5,390,386,0,0,0
S01006688,495,241,26,160,55,254,251,4,1,0
S01006689,535,191,45,63,83,343,327,16,0,1
S01006690,299,52,4,19,29,247,234,12,2,0
S01006691,338,105,35,55,15,233,212,21,0,0
S01006692,339,187,25,119,43,152,127,25,0,0
S01006693,548,109,39,38,32,439,385,54,0,0
S01006694,530,104,12,16,76,426,421,3,2,0
S01006695,321,237,18,87,137,81,80,1,0,0
S01006696,365,167,5,27,135,197,193,4,0,0
S01006697,399,187,28,61,98,212,212,0,0,0
S01006698,396,72,3,20,49,324,321,3,1,0
S01006699,196,105,4,79,22,87,86,0,0,0
S01006700,393,176,62,39,75,217,217,0,0,0
S01006701,316,172,7,47,119,140,137,2,0,0
S01006702,328,316,6,105,202,12,12,0,0,0
S01006703,280,177,7,57,113,103,101,2,0,0
S01006704,275,129,5,26,98,146,145,2,0,0
S01006705,404,285,5,68,212,119,119,0,0,0
S01006706,273,215,3,60,146,61,57,3,1,0
S01006707,220,165,8,38,120,55,55,0,0,0
S01006708,374,314,7,105,201,60,54,5,1,0
S01006709,435,296,11,130,155,138,136,0,0,1
S01006710,413,372,16,115,245,41,36,4,0,1
S01006711,445,336,12,97,227,109,107,4,0,0
S01006712,248,236,11,75,150,15,9,3,0,0
S01006713,448,346,15,107,224,102,100,2,0,0
S01006714,309,232,19,123,90,77,77,0,0,0
S01006715,212,158,5,72,85,54,51,3,0,0
S01006716,234,208,11,119,80,26,28,1,1,0
S01006717,426,372,8,104,260,54,51,1,3,0
S01006718,246,225,10,183,37,16,16,2,0,0
S01006719,374,353,11,155,184,21,19,2,0,0
S01006720,258,246,6,92,145,12,10,3,4,0
S01006721,338,308,14,122,173,29,26,3,0,0
S01006722,293,263,7,87,167,32,32,0,0,0
S01006723,275,265,9,107,149,10,4,5,0,0
S01006724,314,141,6,74,60,173,169,4,0,0
S01006725,267,236,6,93,141,29,28,2,0,0
S01006726,262,74,6,50,14,192,188,3,1,0
S01006727,469,155,14,81,64,314,307,4,0,0
S01006728,331,226,8,104,116,107,104,1,1,0
S01006729,436,145,8,113,24,291,286,5,0,0
S01006730,266,223,9,51,158,43,42,2,0,0
S01006731,261,174,5,37,132,87,86,2,0,0
S01006732,738,544,312,111,121,193,189,2,2,1
S01006733,323,319,252,63,4,4,4,0,0,0
S01006734,355,338,201,128,9,17,17,0,0,0
S01006735,243,236,178,36,22,7,6,1,0,0
S01006736,397,389,206,167,16,8,7,1,0,0
S01006737,643,603,247,198,158,42,35,2,0,0
S01006738,863,214,41,66,107,635,610,24,1,14
S01006739,812,480,97,131,252,321,313,12,0,7
S01006740,329,289,12,134,146,41,41,0,0,0
S01006741,336,317,12,62,243,19,17,1,0,0
S01006742,227,218,9,30,178,9,5,5,0,0
S01006743,440,309,85,150,74,134,127,6,1,0
S01006744,291,126,19,53,54,165,128,37,0,0
S01006745,463,187,34,77,80,276,260,15,1,0
S01006746,387,332,16,226,90,55,51,4,0,0
S01006747,483,454,84,309,58,29,23,3,2,0
S01006748,791,429,170,136,119,365,352,6,6,2
S01006749,411,284,40,122,122,127,125,2,0,0
S01006750,284,224,24,123,80,60,58,0,0,0
S01006751,195,154,25,83,39,42,40,2,0,0
S01006752,330,247,10,143,90,89,85,1,0,0
S01006753,446,338,126,169,47,105,96,8,1,0
S01006754,396,329,120,179,31,69,66,2,0,0
S01006755,300,241,123,98,20,58,58,0,0,1
S01006756,280,133,70,21,42,143,143,4,0,0
S01006757,342,289,68,184,33,53,51,0,0,0
S01006758,308,240,98,128,13,67,66,0,0,0
S01006759,247,229,113,107,6,17,16,1,0,2
S01006760,251,202,32,74,93,52,48,3,1,0
S01006761,333,274,100,147,27,59,56,4,0,0
S01006762,745,662,225,313,121,85,81,4,0,2
S01006763,342,326,53,165,108,13,10,2,0,0
S01006764,347,308,38,185,78,43,40,3,0,0
S01006765,277,205,46,123,36,72,68,1,0,0
S01006766,237,224,152,47,25,9,9,0,0,0
S01006767,285,277,85,89,102,7,6,0,0,0
S01006768,213,212,187,23,0,0,0,0,0,0
S01006769,393,384,75,187,122,9,9,0,0,0
S01006770,269,268,65,201,4,1,1,0,0,0
S01006771,150,150,78,69,3,0,0,0,0,0
S01006772,371,314,73,230,9,57,54,5,0,0
S01006773,338,318,84,200,34,20,19,0,0,0
S01006774,221,221,100,115,6,0,0,0,0,0
S01006775,466,285,51,128,106,183,168,12,0,1
S01006776,296,145,3,108,34,151,145,3,0,0
S01006777,261,257,76,170,9,4,3,0,1,0
S01006778,287,252,35,172,45,29,29,0,0,1
S01006779,258,204,12,92,100,54,54,0,0,0
S01006780,226,183,33,71,79,43,37,8,0,0
S01006781,272,266,21,200,45,6,6,0,0,0
S01006782,392,284,118,125,41,108,103,5,0,0
S01006783,255,222,20,164,32,35,33,3,0,0
S01006784,283,197,40,136,21,86,80,5,1,0
S01006785,217,200,103,94,3,15,16,1,0,0
S01006786,330,285,126,138,21,45,45,0,0,0
S01006787,280,274,86,111,78,6,7,1,0,0
S01006788,874,702,254,262,186,165,151,12,2,7
S01006789,291,251,140,90,19,40,24,5,8,0
S01006790,456,412,186,166,56,43,29,11,3,1
S01006791,289,274,229,38,6,14,12,2,0,1
S01006792,188,189,148,35,6,2,1,0,0,1
S01006793,289,265,162,89,14,23,12,5,6,1
S01006794,283,278,133,108,37,5,4,0,0,0
S01006795,337,282,216,57,11,55,44,9,2,0
S01006796,379,370,292,73,5,8,5,3,0,1
S01006797,246,237,198,29,10,5,2,2,2,3
S01006798,260,251,221,25,4,7,3,2,1,2
S01006799,421,367,148,195,24,54,37,14,5,0
S01006800,342,331,289,36,6,3,0,3,0,5
S01006801,543,519,391,111,17,24,24,3,0,0
S01006802,330,308,190,89,29,21,20,0,0,1
S01006803,315,284,79,159,48,35,31,3,1,0
S01006804,308,281,181,67,35,25,23,0,0,0
S01006805,458,407,232,97,81,51,35,8,6,0
S01006806,472,469,303,108,51,6,2,4,1,0
S01006807,271,271,110,86,72,0,0,0,0,0
S01006808,271,267,212,46,5,3,0,3,0,1
S01006809,390,382,162,157,63,6,3,2,3,2
S01006810,399,363,186,118,60,37,33,1,3,0
S01006811,444,432,259,117,55,11,7,5,2,1
S01006812,352,344,202,121,23,8,2,6,0,0
S01006813,369,323,119,145,58,42,29,16,1,0
S01006814,306,298,246,46,6,8,6,2,0,0
S01006815,305,208,72,76,56,97,95,2,0,0
S01006816,291,248,133,54,61,46,31,6,5,0
S01006817,335,306,187,93,25,26,26,0,0,0
S01006818,325,321,227,80,11,3,1,1,1,1
S01006819,455,430,273,93,63,19,16,3,0,3
S01006820,314,300,117,108,80,10,10,0,0,0
S01006821,739,685,446,127,109,54,51,2,1,5
S01006822,418,413,344,45,21,6,2,3,0,2
S01006823,310,235,144,49,36,74,71,4,0,0
S01006824,382,213,15,79,119,165,167,2,0,0
S01006825,325,316,53,167,96,9,4,1,0,0
S01006826,358,336,187,81,68,22,20,1,2,0
S01006827,408,304,41,136,124,104,85,16,3,0
S01006828,457,237,48,105,82,224,195,23,2,0
S01006829,141,139,111,22,6,0,0,0,0,0
S01006830,311,287,96,154,33,25,24,1,2,0
S01006831,219,218,88,94,36,1,1,0,0,0
S01006832,436,313,153,126,41,119,97,14,8,0
S01006833,191,173,101,52,19,18,11,7,0,0
S01006834,164,162,119,31,12,3,1,1,0,0
S01006835,485,198,39,65,94,289,243,29,16,0
S01006836,234,127,107,18,5,104,95,6,1,0
S01006837,229,211,100,87,21,19,15,1,1,0
S01006838,251,245,124,115,6,6,8,1,0,0
S01006839,397,380,58,197,127,13,10,2,1,0
S01006840,397,391,297,84,10,4,4,0,0,0
S01006841,319,315,180,118,17,1,0,3,0,0
S01006842,305,298,106,176,14,6,5,0,1,2
S01006843,316,308,147,147,14,8,6,0,0,0
S01006844,325,251,96,141,14,74,74,0,0,0
S01006845,371,342,171,157,14,29,28,1,0,0
S01006846,242,221,33,153,33,23,21,2,0,0
S01006847,245,234,107,120,8,10,10,0,0,0
S01006848,658,601,462,114,25,12,7,4,1,46
S01006849,664,617,399,165,53,46,45,1,0,2
S01006850,370,363,40,116,207,5,4,0,0,1
S01006851,337,303,69,135,99,34,34,0,0,0
S01006852,230,229,140,76,9,0,0,0,0,0
S01006853,372,367,305,53,8,2,3,1,0,1
S01006854,402,399,238,138,23,3,3,0,0,0
S01006855,330,325,263,43,19,4,1,2,1,2
S01006856,295,288,210,65,13,7,3,5,0,0
S01006857,488,471,356,83,28,14,5,4,2,0
S01006858,251,250,217,25,8,0,0,0,0,1
S01006859,414,370,319,46,4,44,42,2,0,0
S01006860,234,194,33,53,111,37,35,2,0,0
S01006861,199,197,154,42,1,1,1,0,0,0
S01006862,345,295,122,143,29,48,41,7,2,0
S01006863,306,290,106,103,76,16,16,0,0,0
S01006864,284,229,113,98,18,55,55,0,0,0
S01006865,480,318,221,77,20,165,126,18,17,1
S01006866,218,211,179,32,3,5,4,1,0,0
S01006867,308,279,209,55,8,35,29,6,0,0
S01006868,363,348,128,151,67,11,6,7,1,2
S01006869,207,200,130,49,21,7,2,7,0,0
S01006870,203,190,120,59,8,13,12,0,1,0
S01006871,266,253,177,64,12,13,9,4,0,0
S01006872,442,439,393,28,16,5,3,2,0,0
S01006873,478,432,318,69,45,46,40,4,2,0
S01006874,235,232,204,25,2,3,0,4,1,0
S01006875,335,314,161,131,22,23,17,4,2,0
S01006876,421,407,294,89,27,14,8,6,0,0
S01006877,390,389,353,26,7,2,1,0,1,2
S01006878,330,311,205,74,35,17,16,1,0,2
S01006879,325,320,278,37,2,4,1,4,0,1
S01006880,286,284,243,34,9,1,1,0,0,0
S01006881,237,234,204,24,4,2,0,1,0,1
S01006882,156,152,45,100,7,5,5,0,0,0
S01006883,219,163,117,34,16,56,47,4,2,0
S01006884,440,388,226,132,34,48,39,4,5,0
S01006885,457,446,298,86,58,10,10,0,0,0
S01006886,435,420,306,55,62,13,8,3,1,1
S01006887,290,258,189,41,27,32,32,0,0,0
S01006888,363,352,268,64,19,10,5,4,1,1
S01006889,347,338,60,158,121,6,4,0,1,0
S01006890,260,231,144,66,21,32,29,2,1,0
S01006891,434,359,173,114,76,75,56,17,2,0
S01006892,280,274,44,188,38,4,4,2,0,0
S01006893,198,197,55,65,69,2,2,0,0,0
S01006894,470,382,102,264,16,88,89,1,0,0
S01006895,306,139,16,74,49,170,165,2,0,0
S01006896,383,261,97,125,38,126,116,7,1,0
S01006897,298,258,83,104,71,41,31,9,0,0
S01006898,357,297,117,165,12,60,60,0,0,0
S01006899,240,233,115,117,1,7,6,1,0,0
S01006900,221,221,104,90,20,3,1,1,0,0
S01006901,277,213,36,135,44,67,62,0,1,0
S01006902,297,217,68,140,9,83,81,2,0,0
S01006903,396,283,58,146,75,113,107,6,0,0
S01006904,311,165,61,52,52,146,137,5,2,0
S01006905,415,337,147,161,29,78,65,8,5,0
S01006906,437,288,27,118,143,149,143,2,4,0
S01006907,417,156,75,38,44,261,232,13,16,0
S01006908,435,209,74,77,58,226,203,15,8,0
S01006909,461,424,330,78,16,36,37,1,0,0
S01006910,425,392,277,91,26,22,18,2,0,17
S01006911,254,246,212,25,13,4,4,0,0,0
S01006912,367,350,267,68,15,16,10,6,0,1
S01006913,940,863,548,210,105,75,73,1,0,2
S01006914,281,277,213,51,13,2,2,0,0,2
S01006915,341,339,262,63,7,5,4,1,0,0
S01006916,204,168,102,66,3,31,31,0,0,2
S01006917,324,320,285,30,4,3,3,0,0,1
S01006918,188,177,117,53,7,11,7,1,2,0
S01006919,200,180,96,48,36,20,17,2,1,0
S01006920,241,149,86,49,17,92,82,6,4,0
S01006921,274,273,215,57,1,1,1,0,0,0
S01006922,269,256,209,37,12,2,2,0,0,11
S01006923,377,318,223,55,37,54,49,5,0,9
S01006924,227,223,176,38,7,0,0,0,0,2
S01006925,200,174,96,74,4,23,21,0,0,0
S01006926,261,261,188,69,2,0,0,0,0,0
S01006927,369,347,286,54,8,22,21,1,0,0
S01006928,451,423,229,144,50,27,19,8,0,1
S01006929,289,289,274,13,0,0,0,0,0,0
S01006930,361,349,268,74,3,12,12,0,0,0
S01006931,148,148,114,20,10,3,2,1,0,1
S01006932,439,387,278,75,26,48,47,1,0,0
S01006933,220,218,61,156,0,2,2,0,0,0
S01006934,452,434,240,125,65,18,13,3,2,0
S01006935,307,273,81,176,14,34,33,0,2,0
S01006936,273,232,22,191,21,37,38,4,0,0
S01006937,341,272,120,89,63,69,66,3,0,0
S01006938,232,172,22,130,20,60,56,1,0,0
S01006939,238,235,132,98,5,3,2,1,0,0
S01006940,392,331,230,87,14,60,59,1,1,0
S01006941,241,231,57,84,90,1,1,0,0,9
S01006942,375,355,179,167,8,21,21,0,0,0
S01006943,210,208,195,14,3,2,2,0,0,0
S01006944,438,333,252,78,2,103,101,2,2,0
S01006945,201,174,131,42,4,27,27,0,0,0
S01006946,280,240,154,78,8,40,38,2,0,0
S01006947,311,292,155,130,6,19,16,3,0,0
S01006948,390,368,192,127,45,24,20,3,2,1
S01006949,274,270,214,45,11,0,0,0,0,4
S01006950,306,266,151,104,14,40,36,4,0,0
S01006951,203,201,56,138,4,4,3,2,0,1
S01006952,383,377,335,38,4,0,0,0,0,4
S01006953,305,291,229,32,30,14,14,0,0,0
S01006954,370,355,181,151,23,15,14,1,0,0
S01006955,261,194,14,136,44,67,66,2,0,0
S01006956,394,389,194,145,47,3,4,0,0,0
S01006957,402,387,310,61,14,14,7,7,0,1
S01006958,679,561,308,176,77,117,105,8,4,0
S01006959,363,192,66,111,16,171,138,23,5,0
S01006960,326,311,270,33,8,15,14,0,1,0
S01006961,324,316,265,40,10,9,9,0,0,0
S01006962,420,363,123,238,2,56,56,0,0,1
S01006963,285,248,151,89,5,40,34,2,0,0
S01006964,346,196,85,84,27,151,147,3,0,0
S01006965,216,172,105,60,7,44,43,1,0,0
S01006966,245,244,27,168,46,1,1,0,0,0
S01006967,262,251,57,187,7,8,10,1,0,0
S01006968,189,187,26,159,2,2,2,0,0,0
S01006969,402,330,67,253,10,72,61,11,0,0
S01006970,269,241,215,23,5,26,26,1,0,0
S01006971,264,184,49,105,33,76,69,6,0,0
S01006972,278,273,199,58,16,8,8,0,0,0
S01006973,329,324,206,94,25,4,3,2,0,0
S01006974,411,366,248,77,41,38,36,4,2,0
S01006975,436,427,346,53,26,11,7,4,0,0
S01006976,185,181,156,19,3,4,1,3,0,0
S01006977,307,304,231,60,13,3,2,1,0,0
S01006978,440,416,284,117,15,16,16,3,0,1
S01006979,433,416,233,119,67,17,14,3,0,0
S01006980,373,372,293,70,9,1,1,0,0,0
S01006981,329,318,200,74,48,11,8,0,2,0
S01006982,381,355,172,152,32,22,19,3,0,0
S01006983,285,283,131,147,1,2,1,1,0,0
S01006984,377,371,254,88,32,7,5,0,0,0
S01006985,460,422,197,190,35,38,38,0,0,0
S01006986,282,269,196,57,16,17,9,3,0,0
S01006987,313,281,170,89,22,28,21,3,3,0
S01006988,187,188,139,42,3,2,2,0,0,0
S01006989,496,496,367,102,23,4,5,1,0,0
S01006990,295,292,248,41,3,4,4,0,0,0
S01006991,221,194,83,71,39,27,22,1,6,0
S01006992,255,250,202,45,2,4,2,0,1,2
S01006993,210,206,185,23,1,2,2,0,0,1
S01006994,236,234,206,29,2,4,0,4,0,0
S01006995,357,350,281,41,27,7,5,1,1,4
S01006996,373,360,196,139,27,12,8,3,1,1
S01006997,313,310,252,42,16,5,3,1,0,0
S01006998,578,549,390,85,74,25,27,1,0,1
S01006999,358,347,279,59,11,4,4,0,0,7
S01007000,422,389,228,133,21,36,32,2,2,0
S01007001,460,409,214,120,75,51,43,6,3,0
S01007002,249,226,171,44,8,23,23,0,0,0
S01007003,214,210,178,26,8,2,0,2,0,2
S01007004,330,324,244,67,12,6,3,0,0,0
S01007005,369,365,317,40,8,4,4,0,0,0
S01007006,398,370,229,95,46,24,21,4,1,4
S01007007,352,348,271,69,8,2,1,0,0,4
S01007008,469,398,111,204,86,70,63,8,2,1
S01007009,517,370,167,150,55,146,125,12,9,0
S01007010,398,301,180,75,46,97,82,5,10,0
S01007011,469,272,64,125,80,197,173,22,6,0
S01007012,319,303,15,96,192,18,18,0,0,0
S01007013,205,203,176,28,0,1,1,0,0,2
S01007014,415,414,323,86,5,6,4,1,0,0
S01007015,258,255,213,38,4,2,1,1,0,1
S01007016,228,226,197,27,2,0,0,0,0,2
S01007017,513,372,55,173,145,141,117,11,13,0
S01007018,382,360,201,113,45,22,18,3,2,0
S01007019,287,272,108,74,89,15,11,4,0,0
S01007020,380,247,119,85,44,131,105,11,15,0
S01007021,381,355,107,188,60,26,23,3,0,0
S01007022,210,202,96,100,6,11,6,3,0,0
S01007023,216,212,126,76,10,3,2,1,0,1
S01007024,440,432,320,94,20,6,4,1,2,2
S01007025,417,367,78,254,39,50,45,5,0,0
S01007026,451,378,237,111,30,73,48,21,1,0
S01007027,512,472,222,191,59,36,34,2,0,0
S01007028,514,483,305,154,21,29,28,2,0,0
S01007029,228,220,196,19,7,1,1,0,0,4
S01007030,373,358,173,76,109,14,8,3,4,1
S01007031,281,264,152,77,37,18,12,3,2,1
S01007032,552,355,97,147,111,197,159,16,18,0
S01007033,289,269,70,104,95,20,16,3,1,0
S01007034,254,197,72,78,47,58,49,7,0,0
S01007035,410,351,39,237,75,61,56,3,0,0
S01007036,401,338,211,76,51,63,51,11,1,0
S01007037,435,388,97,188,106,45,40,4,0,0
S01007038,307,237,81,92,64,70,61,7,2,0
S01007039,446,400,129,191,79,47,42,0,1,0
S01007040,291,262,92,93,77,28,25,3,0,2
S01007041,339,283,117,99,68,61,40,11,8,0
S01007042,332,322,194,104,24,8,10,0,1,2
S01007043,389,380,314,57,10,4,0,4,0,4
S01007044,321,295,129,115,51,26,19,4,3,0
S01007045,336,324,283,34,7,3,3,0,0,5
S01007046,256,251,151,89,14,4,3,1,0,1
S01007047,274,267,213,42,12,1,1,0,0,6
S01007048,344,341,276,55,10,3,2,0,1,0
S01007049,419,395,101,210,84,24,18,4,4,0
S01007050,314,290,137,100,53,24,17,6,1,0
S01007051,344,303,137,131,37,40,26,10,2,0
S01007052,405,399,274,112,12,5,5,0,0,3
S01007053,211,202,191,10,3,5,1,3,0,4
S01007054,469,442,119,202,121,28,18,11,2,0
S01007055,237,227,200,29,2,2,2,0,0,4
S01007056,271,268,244,22,1,0,0,0,0,3
S01007057,253,249,150,86,13,4,3,2,0,0
