Intermediate Zone - Data Zone 2011,White: Total,Mixed or multiple ethnic group,"Asian, Asian Scottish or Asian British: Total",African: Total,Caribbean or Black: Total,Other ethnic groups: Total
S01007225,812,12,6,0,4,1
S01007226,737,3,1,1,1,1
S01007227,897,6,8,1,0,1
S01007228,537,10,3,4,0,0
S01007229,1114,9,2,6,1,2
S01007230,703,3,17,0,3,0
S01007231,650,8,12,1,1,0
S01007232,694,7,9,1,1,1
S01007233,637,0,9,0,0,1
S01007234,609,1,0,0,0,5
S01007235,770,20,14,0,0,3
S01007236,602,12,7,0,0,9
S01007237,589,4,5,2,0,7
S01007238,792,4,2,0,0,4
S01007239,939,7,28,3,0,0
S01007240,598,2,3,0,0,0
S01007241,602,5,0,1,0,0
S01007242,950,15,8,2,0,6
S01007243,633,2,0,0,0,0
S01007244,679,11,7,2,7,1
S01007245,647,1,24,1,0,0
S01007246,823,5,8,0,1,1
S01007247,670,1,0,2,1,4
S01007248,701,2,24,0,0,0
S01007249,483,4,4,0,0,2
S01007250,702,2,12,5,0,0
S01007251,474,2,3,0,0,3
S01007252,693,3,2,0,0,6
S01007253,1277,6,4,1,1,1
S01007254,667,4,1,1,1,0
S01007255,736,8,5,0,0,0
S01007256,784,0,13,0,1,0
S01007257,511,0,15,1,1,10
S01007258,723,6,2,0,1,4
S01007259,841,16,14,0,0,0
S01007260,766,8,0,1,1,2
S01007261,770,2,9,1,0,1
S01007262,692,0,0,0,0,0
S01007263,665,0,5,0,0,0
S01007264,688,1,11,0,0,0
S01007265,963,6,6,1,3,3
S01007266,632,3,4,0,0,0
S01007267,559,0,0,0,0,0
S01007268,602,8,0,0,0,0
S01007269,367,2,4,1,0,0
S01007270,548,0,1,0,1,0
S01007271,915,7,4,0,0,2
S01007272,838,1,9,2,0,1
S01007273,614,3,0,0,1,1
S01007274,752,5,12,1,0,4
S01007275,563,2,8,0,3,1
S01007276,920,3,0,0,0,4
S01007277,723,2,1,0,0,1
S01007278,500,0,4,0,0,0
S01007279,576,4,3,0,1,1
S01007280,568,1,2,0,0,4
S01007281,828,5,1,1,0,0
S01007282,531,3,1,0,0,2
S01007283,890,9,5,0,1,2
S01007284,860,4,4,0,0,1
S01007285,928,9,5,1,0,1
S01007286,1024,7,9,1,3,1
S01007287,630,3,2,0,0,4
S01007288,626,5,3,0,1,0
S01007289,804,7,3,5,0,4
S01007290,981,17,3,4,0,0
S01007291,612,7,7,0,0,0
S01007292,652,1,4,0,0,0
S01007293,645,10,4,0,2,4
