Data zone code,Data zone name,Total population
S01007898,Cumnock Rural - 02,433
S01007899,Cumnock Rural - 03,592
S01007900,Cumnock Rural - 04,587
S01007901,Cumnock Rural - 05,595
S01007902,Cumnock Rural - 06,809
S01007903,Cumnock Rural - 07,538
S01007904,Cumnock Rural - 08,766
S01007905,New Cumnock - 01,621
S01007906,New Cumnock - 02,612
S01007907,New Cumnock - 03,547
S01007908,New Cumnock - 04,856
S01007909,Cumnock South and Craigens - 01,558
S01007910,Cumnock South and Craigens - 02,915
S01007911,Cumnock South and Craigens - 03,683
S01007912,Cumnock South and Craigens - 04,707
S01007913,Cumnock South and Craigens - 05,566
S01007914,Cumnock South and Craigens - 06,558
S01007915,Cumnock South and Craigens - 07,764
S01007916,Cumnock North - 01,722
S01007917,Cumnock North - 02,796
S01007918,Cumnock North - 03,789
S01007919,Cumnock North - 04,795
S01007920,Cumnock North - 05,726
S01007921,Auchinleck - 01,815
S01007922,Auchinleck - 02,762
S01007923,Auchinleck - 03,997
S01007924,Auchinleck - 04,1123
S01007925,Northern and Irvine Valley Rural - 01,439
S01007926,Northern and Irvine Valley Rural - 02,454
S01007927,Northern and Irvine Valley Rural - 03,783
S01007928,Northern and Irvine Valley Rural - 04,957
S01007929,Northern and Irvine Valley Rural - 05,2081
S01007930,Northern and Irvine Valley Rural - 06,477
S01007931,Northern and Irvine Valley Rural - 07,1112
S01007932,Stewarton East - 01,827
S01007933,Stewarton East - 02,802
S01007934,Stewarton East - 03,618
S01007935,Stewarton East - 04,693
S01007936,Stewarton East - 05,947
S01007937,Stewarton West - 01,1133
S01007938,Stewarton West - 02,715
S01007939,Stewarton West - 03,814
S01007940,Darvel - 01,1038
S01007941,Darvel - 02,594
S01007942,Darvel - 03,559
S01007943,Darvel - 04,644
S01007944,Darvel - 05,747
S01007945,Newmilns - 01,714
S01007946,Newmilns - 02,566
S01007947,Newmilns - 03,680
S01007948,Newmilns - 04,594
S01007949,Galston - 01,608
S01007950,Galston - 02,873
S01007951,Galston - 03,893
S01007952,Galston - 04,598
S01007953,Galston - 05,869
S01007954,Galston - 06,675
S01007955,Earlston and Hurlford Rural - 01,783
S01007956,Earlston and Hurlford Rural - 02,664
S01007957,Earlston and Hurlford Rural - 03,973
S01007958,Earlston and Hurlford Rural - 04,478
S01007959,Earlston and Hurlford Rural - 05,657
S01007960,Earlston and Hurlford Rural - 06,637
S01007961,Earlston and Hurlford Rural - 07,1198
S01007962,Shortlees - 01,562
S01007963,Shortlees - 02,1053
S01007964,Shortlees - 03,751
S01007965,Shortlees - 04,486
S01007966,Shortlees - 05,1022
S01007967,Shortlees - 06,510
S01007968,Bellfield and Kirkstyle - 01,876
S01007969,Bellfield and Kirkstyle - 02,769
S01007970,Bellfield and Kirkstyle - 03,1021
S01007971,Bellfield and Kirkstyle - 04,883
S01007972,Bellfield and Kirkstyle - 05,783
S01007973,Kilmarnock South Central and Caprington - 01,763
S01007974,Kilmarnock South Central and Caprington - 02,628
S01007975,Kilmarnock South Central and Caprington - 03,688
S01007976,Kilmarnock South Central and Caprington - 04,617
S01007977,Piersland - 01,539
S01007978,Piersland - 02,584
S01007979,Piersland - 03,929
S01007980,Piersland - 04,609
S01007981,Piersland - 05,532
S01007982,New Farm Loch South - 01,457
S01007983,New Farm Loch South - 02,830
S01007984,New Farm Loch South - 03,693
S01007985,New Farm Loch South - 04,861
S01007986,Dean and New Farm Loch North - 01,544
S01007987,Dean and New Farm Loch North - 02,726
S01007988,Dean and New Farm Loch North - 03,662
S01007989,Dean and New Farm Loch North - 04,849
S01007990,Dean and New Farm Loch North - 05,709
S01007991,Southcraig and Beansburn - 01,1093
S01007992,Southcraig and Beansburn - 02,591
S01007993,Southcraig and Beansburn - 03,713
S01007994,Southcraig and Beansburn - 04,882
S01007995,Southcraig and Beansburn - 05,806
S01007996,Southcraig and Beansburn - 06,349
S01007997,Southcraig and Beansburn - 07,800
S01007998,Southcraig and Beansburn - 08,509
S01007999,Altonhill North and Onthank - 01,646
S01008000,Altonhill North and Onthank - 02,898
S01008001,Altonhill North and Onthank - 03,929
S01008002,Altonhill North and Onthank - 04,744
S01008003,Altonhill North and Onthank - 05,655
S01008004,Altonhill North and Onthank - 06,640
S01008005,"Altonhill South, Longpark and Hillhead - 01",768
S01008006,"Altonhill South, Longpark and Hillhead - 02",567
S01008007,"Altonhill South, Longpark and Hillhead - 03",455
S01008008,"Altonhill South, Longpark and Hillhead - 04",645
S01008009,"Altonhill South, Longpark and Hillhead - 05",903
S01008010,"Altonhill South, Longpark and Hillhead - 06",935
S01008011,"Altonhill South, Longpark and Hillhead - 07",527
S01008012,Bonnyton and Town Centre - 01,774
S01008013,Bonnyton and Town Centre - 02,651
S01008014,Bonnyton and Town Centre - 03,453
S01008015,Bonnyton and Town Centre - 04,928
S01008016,Bonnyton and Town Centre - 05,777
S01008017,"Grange, Howard and Gargieston - 01",883
S01008018,"Grange, Howard and Gargieston - 02",578
S01008019,"Grange, Howard and Gargieston - 03",579
S01008020,"Grange, Howard and Gargieston - 04",792
S01008021,"Grange, Howard and Gargieston - 05",637
S01008022,"Grange, Howard and Gargieston - 06",837
S01008023,"Grange, Howard and Gargieston - 07",601
S01008024,"Grange, Howard and Gargieston - 08",1174
S01008025,"Crosshouse, Gatehead and Kilmaurs Rural - 01",554
S01008026,"Crosshouse, Gatehead and Kilmaurs Rural - 02",938
S01008027,"Crosshouse, Gatehead and Kilmaurs Rural - 03",537
S01008028,"Crosshouse, Gatehead and Kilmaurs Rural - 04",584
S01008029,"Crosshouse, Gatehead and Kilmaurs Rural - 05",2365
S01008030,Kilmaurs - 01,981
S01008031,Kilmaurs - 02,733
S01008032,Kilmaurs - 03,835
S01008033,West Clober and Mains Estate - 01,748
S01008034,West Clober and Mains Estate - 02,679
S01008035,West Clober and Mains Estate - 03,580
S01008036,West Clober and Mains Estate - 04,627
S01008037,East Clober and Mains Estate - 01,988
S01008038,East Clober and Mains Estate - 02,853
S01008039,East Clober and Mains Estate - 03,836
S01008040,East Clober and Mains Estate - 04,862
S01008041,Barloch - 01,682
S01008042,Barloch - 02,606
S01008043,Barloch - 03,1024
S01008044,Barloch - 04,894
S01008045,Keystone and Dougalston - 01,1210
S01008046,Keystone and Dougalston - 02,851
S01008047,Keystone and Dougalston - 03,609
S01008048,Keystone and Dougalston - 04,583
S01008049,Keystone and Dougalston - 05,845
S01008050,Kilmardinny East - 01,620
S01008051,Kilmardinny East - 02,847
S01008052,Kilmardinny East - 03,1595
S01008053,Kilmardinny East - 04,606
S01008054,Kilmardinny West - 01,849
S01008055,Kilmardinny West - 02,1129
S01008056,Kilmardinny West - 03,822
S01008057,Kilmardinny West - 04,935
S01008058,North Castlehill and Thorn - 01,860
S01008059,North Castlehill and Thorn - 02,633
S01008060,North Castlehill and Thorn - 03,671
S01008061,North Castlehill and Thorn - 04,1259
S01008062,North Castlehill and Thorn - 05,848
S01008063,South Castlehill and Thorn - 01,932
S01008064,South Castlehill and Thorn - 02,658
S01008065,South Castlehill and Thorn - 03,953
S01008066,South Castlehill and Thorn - 04,888
S01008067,South Castlehill and Thorn - 05,740
S01008068,Westerton West - 01,998
S01008069,Westerton West - 02,886
S01008070,Westerton West - 03,889
S01008071,Westerton East - 01,700
S01008072,Westerton East - 02,720
S01008073,Westerton East - 03,430
S01008074,Westerton East - 04,1095
S01008075,Westerton East - 05,592
S01008076,Kessington West - 01,626
S01008077,Kessington West - 02,829
S01008078,Kessington West - 03,884
S01008079,Kessington West - 04,810
S01008080,Kessington East - 01,697
S01008081,Kessington East - 02,592
S01008082,Kessington East - 03,761
S01008083,Kessington East - 04,814
S01008084,Torrance and Balmore - 01,914
S01008085,Torrance and Balmore - 02,866
S01008086,Torrance and Balmore - 03,1071
S01008087,Bishopbriggs North and Kenmure - 01,821
S01008088,Bishopbriggs North and Kenmure - 02,856
S01008089,Bishopbriggs North and Kenmure - 03,789
S01008090,Bishopbriggs North and Kenmure - 04,698
S01008091,Bishopbriggs North and Kenmure - 05,369
S01008092,Bishopbriggs North and Kenmure - 06,889
S01008093,Bishopbriggs North and Kenmure - 07,723
S01008094,Bishopbriggs West and Cadder - 01,1443
S01008095,Bishopbriggs West and Cadder - 02,714
S01008096,Bishopbriggs West and Cadder - 03,781
S01008097,Bishopbriggs West and Cadder - 04,590
S01008098,Bishopbriggs West and Cadder - 05,736
S01008099,Bishopbriggs West and Cadder - 06,509
S01008100,Bishopbriggs West and Cadder - 07,885
S01008101,Bishopbriggs West and Cadder - 08,807
S01008102,Auchinairn - 01,670
S01008103,Auchinairn - 02,799
S01008104,Auchinairn - 03,886
S01008105,Auchinairn - 04,962
S01008106,Auchinairn - 05,864
S01008107,Auchinairn - 06,1548
S01008108,Woodhill East - 01,807
S01008109,Woodhill East - 02,808
S01008110,Woodhill East - 03,804
S01008111,Woodhill West - 01,780
S01008112,Woodhill West - 02,783
S01008113,Woodhill West - 03,929
S01008114,Woodhill West - 04,635
S01008115,Woodhill West - 05,907
S01008116,Lenzie North - 01,867
S01008117,Lenzie North - 02,771
S01008118,Lenzie North - 03,928
S01008119,Lenzie North - 04,586
S01008120,Lenzie North - 05,631
S01008121,Lenzie North - 06,652
S01008122,Lenzie North - 07,733
S01008123,Lenzie South - 01,949
S01008124,Lenzie South - 02,836
S01008125,Lenzie South - 03,809
S01008126,Lenzie South - 04,731
S01008127,Kirkintilloch South - 01,821
S01008128,Kirkintilloch South - 02,778
S01008129,Kirkintilloch South - 03,831
S01008130,Kirkintilloch South - 04,928
S01008131,Kirkintilloch West - 01,756
S01008132,Kirkintilloch West - 02,1138
S01008133,Kirkintilloch West - 03,610
S01008134,Kirkintilloch West - 04,581
S01008135,Kirkintilloch West - 05,1513
S01008136,Hillhead - 01,771
S01008137,Hillhead - 02,885
S01008138,Hillhead - 03,815
S01008139,Hillhead - 04,1135
S01008140,Hillhead - 05,499
S01008141,Rosebank and Waterside - 01,713
S01008142,Rosebank and Waterside - 02,717
S01008143,Rosebank and Waterside - 03,973
S01008144,Rosebank and Waterside - 04,3491
S01008145,Twechar and Harestanes East - 01,972
S01008146,Twechar and Harestanes East - 02,551
S01008147,Twechar and Harestanes East - 03,715
S01008148,Twechar and Harestanes East - 04,688
S01008149,Harestanes - 01,670
S01008150,Harestanes - 02,838
S01008151,Harestanes - 03,632
S01008152,Harestanes - 04,907
S01008153,Milton of Campsie - 01,693
S01008154,Milton of Campsie - 02,890
S01008155,Milton of Campsie - 03,598
S01008156,Milton of Campsie - 04,717
S01008157,Milton of Campsie - 05,858
S01008158,Lennoxtown - 01,603
S01008159,Lennoxtown - 02,894
S01008160,Lennoxtown - 03,981
S01008161,Lennoxtown - 04,1040
S01008162,Lennoxtown - 05,1007
S01008163,Wallyford/Whitecraig - 01,847
S01008164,Wallyford/Whitecraig - 02,1560
S01008165,Wallyford/Whitecraig - 03,2408
S01008166,Wallyford/Whitecraig - 04,522
S01008167,Wallyford/Whitecraig - 05,769
S01008168,Wallyford/Whitecraig - 06,865
S01008169,Wallyford/Whitecraig - 07,887
S01008170,Musselburgh South - 01,578
S01008171,Musselburgh South - 02,775
S01008172,Musselburgh South - 03,553
S01008173,Musselburgh South - 04,602
S01008174,Musselburgh South - 05,474
S01008175,Musselburgh South - 06,716
S01008176,Musselburgh South - 07,803
S01008177,Musselburgh West - 01,764
S01008178,Musselburgh West - 02,558
S01008179,Musselburgh West - 03,428
S01008180,Musselburgh West - 04,417
S01008181,Musselburgh West - 05,622
S01008182,Musselburgh North - 01,899
S01008183,Musselburgh North - 02,626
S01008184,Musselburgh North - 03,800
S01008185,Musselburgh North - 04,911
S01008186,Musselburgh North - 05,710
S01008187,Musselburgh North - 06,676
S01008188,Musselburgh East - 01,923
S01008189,Musselburgh East - 02,419
S01008190,Musselburgh East - 03,905
S01008191,Musselburgh East - 04,893
S01008192,Musselburgh East - 05,1067
S01008193,Musselburgh East - 06,869
S01008194,Pinkie Braes - 01,679
S01008195,Pinkie Braes - 02,729
S01008196,Pinkie Braes - 03,959
S01008197,Prestonpans West - 01,1478
S01008198,Prestonpans West - 02,739
S01008199,Prestonpans West - 03,756
S01008200,Prestonpans West - 04,612
S01008201,Prestonpans West - 05,775
S01008202,Prestonpans West - 06,512
S01008203,Prestonpans West - 07,607
S01008204,Prestonpans East - 01,876
S01008205,Prestonpans East - 02,686
S01008206,Prestonpans East - 03,737
S01008207,Prestonpans East - 04,602
S01008208,Prestonpans East - 05,872
S01008209,Prestonpans East - 06,464
S01008210,Cockenzie - 01,831
S01008211,Cockenzie - 02,874
S01008212,Cockenzie - 03,536
S01008213,Cockenzie - 04,917
S01008214,Cockenzie - 05,718
S01008215,Cockenzie - 06,637
S01008216,Cockenzie - 07,448
S01008217,Cockenzie - 08,553
S01008218,Tranent North - 01,2540
S01008219,Tranent North - 02,998
S01008220,Tranent North - 03,636
S01008221,Tranent North - 04,856
S01008222,Tranent North - 05,666
S01008223,Tranent North - 06,525
S01008224,Tranent North - 07,807
S01008225,Tranent North - 08,644
S01008226,Tranent South - 01,752
S01008227,Tranent South - 02,846
S01008228,Tranent South - 03,651
S01008229,Tranent South - 04,665
S01008230,Tranent South - 05,773
S01008231,Tranent South - 06,770
S01008232,Tranent South - 07,869
S01008233,Tranent South - 08,799
S01008234,Ormiston - 01,404
S01008235,Ormiston - 02,963
S01008236,Ormiston - 03,817
S01008237,Ormiston - 04,1212
S01008238,Longniddry and Aberlady - 01,786
S01008239,Longniddry and Aberlady - 02,1177
S01008240,Longniddry and Aberlady - 03,725
S01008241,Longniddry and Aberlady - 04,647
S01008242,Longniddry and Aberlady - 05,1136
S01008243,Longniddry and Aberlady - 06,1187
S01008244,Longniddry and Aberlady - 07,578
S01008245,Haddington Rural - 01,1040
S01008246,Haddington Rural - 02,1195
S01008247,Haddington Rural - 03,764
S01008248,Haddington Rural - 04,785
S01008249,Haddington Rural - 05,1046
S01008250,Haddington Rural - 06,3200
S01008251,Haddington North - 01,1167
S01008252,Haddington North - 02,737
S01008253,Haddington North - 03,753
S01008254,Haddington North - 04,1002
S01008255,Haddington North - 05,653
S01008256,Haddington South - 01,919
S01008257,Haddington South - 02,661
S01008258,Haddington South - 03,780
S01008259,Haddington South - 04,915
S01008260,Haddington South - 05,739
S01008261,Haddington South - 06,813
S01008262,Gullane and Drem - 01,617
S01008263,Gullane and Drem - 02,694
S01008264,Gullane and Drem - 03,776
S01008265,Gullane and Drem - 04,922
S01008266,Gullane and Drem - 05,640
S01008267,Gullane and Drem - 06,988
S01008268,North Berwick North - 01,777
S01008269,North Berwick North - 02,881
S01008270,North Berwick North - 03,749
S01008271,North Berwick North - 04,625
S01008272,North Berwick South - 01,2821
S01008273,North Berwick South - 02,805
S01008274,North Berwick South - 03,726
S01008275,North Berwick South - 04,534
S01008276,North Berwick South - 05,520
S01008277,East Linton and Rural - 01,712
S01008278,East Linton and Rural - 02,994
S01008279,East Linton and Rural - 03,701
S01008280,East Linton and Rural - 04,953
S01008281,East Linton and Rural - 05,753
S01008282,East Linton and Rural - 06,664
S01008283,East Linton and Rural - 07,1190
S01008284,Dunbar West - 01,2850
S01008285,Dunbar West - 02,685
S01008286,Dunbar West - 03,773
S01008287,Dunbar West - 04,838
S01008288,Dunbar West - 05,902
S01008289,Dunbar East - 01,549
S01008290,Dunbar East - 02,874
S01008291,Dunbar East - 03,771
S01008292,Dunbar East - 04,738
S01008293,Dunbar East - 05,561
S01008294,Dunbar East - 06,836
S01008295,Neilston and Uplawmoor - 01,863
S01008296,Neilston and Uplawmoor - 02,678
S01008297,Neilston and Uplawmoor - 03,887
S01008298,Neilston and Uplawmoor - 04,1017
S01008299,Neilston and Uplawmoor - 05,707
S01008300,Neilston and Uplawmoor - 06,792
S01008301,Neilston and Uplawmoor - 07,744
S01008302,Neilston and Uplawmoor - 08,950
S01008303,Cross Stobbs - 01,584
S01008304,Cross Stobbs - 02,383
S01008305,Cross Stobbs - 03,654
S01008306,Cross Stobbs - 04,532
S01008307,Cross Stobbs - 05,849
S01008308,Cross Stobbs - 06,531
S01008309,"Dunterlie, East Arthurlie and Dovecothall - 01",627
S01008310,"Dunterlie, East Arthurlie and Dovecothall - 02",996
S01008311,"Dunterlie, East Arthurlie and Dovecothall - 03",425
S01008312,"Dunterlie, East Arthurlie and Dovecothall - 04",393
S01008313,"Dunterlie, East Arthurlie and Dovecothall - 05",801
S01008314,"Dunterlie, East Arthurlie and Dovecothall - 06",507
S01008315,"Dunterlie, East Arthurlie and Dovecothall - 07",661
S01008316,"Dunterlie, East Arthurlie and Dovecothall - 08",610
S01008317,"Dunterlie, East Arthurlie and Dovecothall - 09",993
S01008318,Arthurlie and Gateside - 01,1682
S01008319,Arthurlie and Gateside - 02,794
S01008320,Arthurlie and Gateside - 03,629
S01008321,Arthurlie and Gateside - 04,417
S01008322,Arthurlie and Gateside - 05,1015
S01008323,Auchenback - 01,652
S01008324,Auchenback - 02,891
S01008325,Auchenback - 03,725
S01008326,Auchenback - 04,939
S01008327,Auchenback - 05,839
S01008328,Crookfur and Fruin - 01,3584
S01008329,Crookfur and Fruin - 02,872
S01008330,Crookfur and Fruin - 03,834
S01008331,Crookfur and Fruin - 04,542
S01008332,Crookfur and Fruin - 05,969
S01008333,Crookfur and Fruin - 06,1027
S01008334,Crookfur and Fruin - 07,765
S01008335,"Mearns Village, Westacres and Greenfarm - 01",698
S01008336,"Mearns Village, Westacres and Greenfarm - 02",774
S01008337,"Mearns Village, Westacres and Greenfarm - 03",932
S01008338,"Mearns Village, Westacres and Greenfarm - 04",771
S01008339,"Mearns Village, Westacres and Greenfarm - 05",575
S01008340,"Mearns Village, Westacres and Greenfarm - 06",765
S01008341,"Mearns Village, Westacres and Greenfarm - 07",612
S01008342,"Mearns Village, Westacres and Greenfarm - 08",807
S01008343,Whitecraigs and Broom - 01,851
S01008344,Whitecraigs and Broom - 02,919
S01008345,Whitecraigs and Broom - 03,1045
S01008346,Whitecraigs and Broom - 04,1001
S01008347,Mearnskirk and South Kirkhill - 01,1126
S01008348,Mearnskirk and South Kirkhill - 02,742
S01008349,Mearnskirk and South Kirkhill - 03,849
S01008350,Mearnskirk and South Kirkhill - 04,574
S01008351,Mearnskirk and South Kirkhill - 05,944
S01008352,Mearnskirk and South Kirkhill - 06,699
S01008353,Mearnskirk and South Kirkhill - 07,511
S01008354,Mearnskirk and South Kirkhill - 08,3198
S01008355,Eaglesham and Waterfoot - 01,729
S01008356,Eaglesham and Waterfoot - 02,585
S01008357,Eaglesham and Waterfoot - 03,631
S01008358,Eaglesham and Waterfoot - 04,730
S01008359,Eaglesham and Waterfoot - 05,718
S01008360,Eaglesham and Waterfoot - 06,829
S01008361,Eaglesham and Waterfoot - 07,877
S01008362,North Kirkhill - 01,1381
S01008363,North Kirkhill - 02,746
S01008364,North Kirkhill - 03,664
S01008365,North Kirkhill - 04,657
S01008366,Busby - 01,885
S01008367,Busby - 02,756
S01008368,Busby - 03,671
S01008369,Busby - 04,651
S01008370,Busby - 05,697
S01008371,Clarkston and Sheddens - 01,747
S01008372,Clarkston and Sheddens - 02,735
S01008373,Clarkston and Sheddens - 03,743
S01008374,Clarkston and Sheddens - 04,750
S01008375,Clarkston and Sheddens - 05,768
S01008376,Clarkston and Sheddens - 06,523
S01008377,Clarkston and Sheddens - 07,769
S01008378,Clarkston and Sheddens - 08,953
S01008379,Williamwood - 01,531
S01008380,Williamwood - 02,648
S01008381,Williamwood - 03,636
S01008382,Williamwood - 04,875
S01008383,Williamwood - 05,483
S01008384,Stamperland - 01,938
S01008385,Stamperland - 02,663
S01008386,Stamperland - 03,840
S01008387,Stamperland - 04,582
S01008388,Stamperland - 05,576
S01008389,Netherlee - 01,645
S01008390,Netherlee - 02,637
S01008391,Netherlee - 03,804
S01008392,Netherlee - 04,894
S01008393,Netherlee - 05,772
S01008394,Netherlee - 06,822
S01008395,Merrylee and Braidbar - 01,506
S01008396,Merrylee and Braidbar - 02,672
S01008397,Merrylee and Braidbar - 03,860
S01008398,Merrylee and Braidbar - 04,640
S01008399,Merrylee and Braidbar - 05,507
S01008400,Merrylee and Braidbar - 06,696
S01008401,Merrylee and Braidbar - 07,902
S01008402,Lower Whitecraigs and South Giffnock - 01,1162
S01008403,Lower Whitecraigs and South Giffnock - 02,575
S01008404,Lower Whitecraigs and South Giffnock - 03,904
S01008405,Lower Whitecraigs and South Giffnock - 04,763
S01008406,North Giffnock and North Thornliebank - 01,940
S01008407,North Giffnock and North Thornliebank - 02,522
S01008408,North Giffnock and North Thornliebank - 03,584
S01008409,North Giffnock and North Thornliebank - 04,883
S01008410,North Giffnock and North Thornliebank - 05,626
S01008411,South Thornliebank and Woodfarm - 01,598
S01008412,South Thornliebank and Woodfarm - 02,732
S01008413,South Thornliebank and Woodfarm - 03,486
S01008414,South Thornliebank and Woodfarm - 04,553
S01008415,South Thornliebank and Woodfarm - 05,853
S01008416,South Thornliebank and Woodfarm - 06,912
S01008417,Balerno and Bonnington Village - 01,710
S01008418,Balerno and Bonnington Village - 02,644
S01008419,Balerno and Bonnington Village - 03,462
S01008420,Balerno and Bonnington Village - 04,440
S01008421,Balerno and Bonnington Village - 05,865
S01008422,Balerno and Bonnington Village - 06,567
S01008423,Balerno and Bonnington Village - 07,1519
S01008424,Balerno and Bonnington Village - 08,855
S01008425,Currie West - 01,3170
S01008426,Currie West - 02,648
S01008427,Currie West - 03,981
S01008428,Currie West - 04,755
S01008429,Currie East - 01,965
S01008430,Currie East - 02,950
S01008431,Currie East - 03,830
S01008432,Currie East - 04,713
S01008433,Baberton and Juniper Green - 01,754
S01008434,Baberton and Juniper Green - 02,957
S01008435,Baberton and Juniper Green - 03,728
S01008436,Baberton and Juniper Green - 04,945
S01008437,Baberton and Juniper Green - 05,712
S01008438,Bonaly and The Pentlands - 01,640
S01008439,Bonaly and The Pentlands - 02,1128
S01008440,Bonaly and The Pentlands - 03,1081
S01008441,Bonaly and The Pentlands - 04,484
S01008442,Bonaly and The Pentlands - 05,697
S01008443,Bonaly and The Pentlands - 06,647
S01008444,Colinton and Kingsknowe - 01,817
S01008445,Colinton and Kingsknowe - 02,1066
S01008446,Colinton and Kingsknowe - 03,1105
S01008447,Colinton and Kingsknowe - 04,686
S01008448,Colinton and Kingsknowe - 05,716
S01008449,Clovenstone and Wester Hailes - 01,837
S01008450,Clovenstone and Wester Hailes - 02,546
S01008451,Clovenstone and Wester Hailes - 03,686
S01008452,Clovenstone and Wester Hailes - 04,589
S01008453,Clovenstone and Wester Hailes - 05,725
S01008454,The Calders - 01,865
S01008455,The Calders - 02,963
S01008456,The Calders - 03,864
S01008457,The Calders - 04,592
S01008458,The Calders - 05,939
S01008459,Murrayburn and Wester Hailes North - 01,735
S01008460,Murrayburn and Wester Hailes North - 02,832
S01008461,Murrayburn and Wester Hailes North - 03,914
S01008462,Murrayburn and Wester Hailes North - 04,500
S01008463,Murrayburn and Wester Hailes North - 05,534
S01008464,Parkhead and Sighthill - 01,819
S01008465,Parkhead and Sighthill - 02,723
S01008466,Parkhead and Sighthill - 03,673
S01008467,Parkhead and Sighthill - 04,732
S01008468,Broomhouse and Bankhead - 01,1096
S01008469,Broomhouse and Bankhead - 02,545
S01008470,Broomhouse and Bankhead - 03,920
S01008471,Broomhouse and Bankhead - 04,858
S01008472,Broomhouse and Bankhead - 05,659
S01008473,Stenhouse and Saughton Mains - 01,578
S01008474,Stenhouse and Saughton Mains - 02,773
S01008475,Stenhouse and Saughton Mains - 03,593
S01008476,Stenhouse and Saughton Mains - 04,693
S01008477,Stenhouse and Saughton Mains - 05,741
S01008478,Stenhouse and Saughton Mains - 06,1194
S01008479,Stenhouse and Saughton Mains - 07,745
S01008480,Stenhouse and Saughton Mains - 08,598
S01008481,Longstone and Saughton - 01,1802
S01008482,Longstone and Saughton - 02,548
S01008483,Longstone and Saughton - 03,602
S01008484,Longstone and Saughton - 04,717
S01008485,Longstone and Saughton - 05,1087
S01008486,Slateford and Chesser - 01,894
S01008487,Slateford and Chesser - 02,1294
S01008488,Slateford and Chesser - 03,830
S01008489,Slateford and Chesser - 04,680
S01008490,Slateford and Chesser - 05,864
S01008491,Slateford and Chesser - 06,909
S01008492,Gorgie West - 01,1271
S01008493,Gorgie West - 02,1301
S01008494,Gorgie West - 03,901
S01008495,Gorgie West - 04,864
S01008496,Gorgie West - 05,922
S01008497,Gorgie East - 01,780
S01008498,Gorgie East - 02,835
S01008499,Gorgie East - 03,843
S01008500,Gorgie East - 04,420
S01008501,Gorgie East - 05,597
S01008502,Shandon - 01,659
S01008503,Shandon - 02,832
S01008504,Shandon - 03,1076
S01008505,Shandon - 04,674
S01008506,Shandon - 05,928
S01008507,Shandon - 06,1093
S01008508,Craiglockhart - 01,742
S01008509,Craiglockhart - 02,1144
S01008510,Craiglockhart - 03,846
S01008511,Craiglockhart - 04,950
S01008512,Craiglockhart - 05,522
S01008513,Craiglockhart - 06,647
S01008514,Morningside and Craighouse - 01,966
S01008515,Morningside and Craighouse - 02,807
S01008516,Morningside and Craighouse - 03,1068
S01008517,Morningside and Craighouse - 04,797
S01008518,Morningside and Craighouse - 05,877
S01008519,Greenbank and The Braids - 01,808
S01008520,Greenbank and The Braids - 02,1036
S01008521,Greenbank and The Braids - 03,913
S01008522,Greenbank and The Braids - 04,558
S01008523,Greenbank and The Braids - 05,976
S01008524,Colinton Mains and Firrhill - 01,896
S01008525,Colinton Mains and Firrhill - 02,828
S01008526,Colinton Mains and Firrhill - 03,882
S01008527,Colinton Mains and Firrhill - 04,670
S01008528,Colinton Mains and Firrhill - 05,708
S01008529,Oxgangs - 01,885
S01008530,Oxgangs - 02,794
S01008531,Oxgangs - 03,794
S01008532,Oxgangs - 04,439
S01008533,Comiston and Swanston - 01,468
S01008534,Comiston and Swanston - 02,638
S01008535,Comiston and Swanston - 03,633
S01008536,Comiston and Swanston - 04,619
S01008537,Comiston and Swanston - 05,681
S01008538,Comiston and Swanston - 06,543
S01008539,Comiston and Swanston - 07,774
S01008540,Comiston and Swanston - 08,888
S01008541,Fairmilehead - 01,873
S01008542,Fairmilehead - 02,1707
S01008543,Fairmilehead - 03,697
S01008544,Fairmilehead - 04,576
S01008545,Fairmilehead - 05,774
S01008546,Fairmilehead - 06,766
S01008547,Gilmerton South and the Murrays - 01,1021
S01008548,Gilmerton South and the Murrays - 02,1475
S01008549,Gilmerton South and the Murrays - 03,4825
S01008550,Mortonhall and Anwickhill - 01,771
S01008551,Mortonhall and Anwickhill - 02,902
S01008552,Mortonhall and Anwickhill - 03,787
S01008553,"Gracemount, Southhouse and Burdiehouse - 01",714
S01008554,"Gracemount, Southhouse and Burdiehouse - 02",1020
S01008555,"Gracemount, Southhouse and Burdiehouse - 03",919
S01008556,"Gracemount, Southhouse and Burdiehouse - 04",848
S01008557,"Gracemount, Southhouse and Burdiehouse - 05",1376
S01008558,"Gracemount, Southhouse and Burdiehouse - 06",860
S01008559,Hyvots and Gilmerton - 01,644
S01008560,Hyvots and Gilmerton - 02,773
S01008561,Hyvots and Gilmerton - 03,644
S01008562,Hyvots and Gilmerton - 04,871
S01008563,Hyvots and Gilmerton - 05,834
S01008564,Fernieside and Moredun South - 01,564
S01008565,Fernieside and Moredun South - 02,951
S01008566,Fernieside and Moredun South - 03,1032
S01008567,Fernieside and Moredun South - 04,727
S01008568,Fernieside and Moredun South - 05,799
S01008569,Moredun and Craigour - 01,589
S01008570,Moredun and Craigour - 02,832
S01008571,Moredun and Craigour - 03,742
S01008572,Moredun and Craigour - 04,786
S01008573,Liberton East - 01,734
S01008574,Liberton East - 02,663
S01008575,Liberton East - 03,709
S01008576,Liberton East - 04,754
S01008577,Liberton West and Braid Hills - 01,943
S01008578,Liberton West and Braid Hills - 02,689
