Intermediate Zone - Data Zone 2011,"Managers, Directors and Senior Officials - Total",Professional Occupations - Total,Associate Professional and Technical Occupations - Total,Administrative and Secretarial Occupations - Total,Skilled Trade Occupations - Total,"Caring, Leisure and Other Service Occupations - Total",Sales and Customer Service Occupations - Total,"Process, Plant and Machine Operatives - Total",Elementary Occupations - Total
S01007006,28,63,58,25,88,44,29,52,44
S01007007,46,60,57,35,95,27,29,35,51
S01007008,38,51,51,36,85,74,41,52,61
S01007009,24,75,54,35,77,53,37,40,57
S01007010,20,65,37,27,48,31,28,33,38
S01007011,20,43,38,30,64,48,41,41,49
S01007012,11,19,20,25,41,45,32,35,55
S01007013,44,43,22,35,61,14,14,28,31
S01007014,51,93,87,65,116,47,32,46,57
S01007015,35,65,27,34,75,25,16,39,31
S01007016,30,55,28,27,84,30,16,26,31
S01007017,25,49,46,34,88,53,31,78,78
S01007018,29,43,50,41,73,43,25,46,48
S01007019,8,31,20,18,61,19,20,31,45
S01007020,24,55,46,25,43,24,21,37,42
S01007021,19,41,34,42,69,42,28,50,67
S01007022,8,22,10,18,36,28,14,26,29
S01007023,27,28,24,19,41,27,17,29,29
S01007024,45,74,56,42,114,54,21,41,56
S01007025,16,31,43,19,66,62,32,42,64
S01007026,25,44,43,30,67,44,23,58,51
S01007027,30,70,39,32,75,64,31,43,55
S01007028,50,110,71,58,109,74,16,50,46
S01007029,23,38,26,17,76,24,22,33,47
S01007030,20,33,28,27,73,52,24,66,66
S01007031,18,28,31,15,69,36,17,28,41
S01007032,28,67,46,30,74,57,16,41,58
S01007033,16,43,35,17,49,51,18,33,39
S01007034,14,28,33,12,40,40,19,21,36
S01007035,9,29,42,24,68,71,42,55,75
S01007036,38,67,47,33,48,41,23,34,52
S01007037,24,27,41,35,88,59,42,51,76
S01007038,14,38,29,23,82,41,25,29,32
S01007039,28,57,56,35,109,65,21,57,79
S01007040,19,30,30,26,53,42,18,32,45
S01007041,14,45,41,31,66,47,35,34,44
S01007042,28,56,31,36,95,37,30,46,36
S01007043,54,57,63,34,121,45,9,43,47
S01007044,34,59,30,22,62,36,13,17,32
S01007045,44,68,28,30,96,36,16,29,35
S01007046,13,42,24,22,54,18,13,27,39
S01007047,31,59,32,26,63,26,13,33,38
S01007048,33,54,42,39,119,33,14,38,44
S01007049,32,41,29,27,89,56,24,49,56
S01007050,18,48,40,29,51,46,21,33,34
S01007051,30,53,68,30,77,42,21,30,29
S01007052,43,92,98,58,100,36,18,52,56
S01007053,23,42,39,28,63,35,18,21,21
S01007054,28,67,49,34,95,50,44,46,54
S01007055,28,52,32,21,79,32,16,34,40
S01007056,36,57,46,29,95,24,12,25,31
S01007057,14,25,37,32,38,23,15,20,19
S01007058,6,25,36,24,27,28,15,22,27
S01007059,30,73,64,51,86,41,40,47,70
S01007060,13,21,22,20,41,29,13,24,30
S01007061,53,102,73,44,93,56,21,32,36
S01007062,43,78,40,28,80,24,19,34,28
