Intermediate Zone - Data Zone 2011,Mainly work from home,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Other - No fixed place of work or working outside the UK
S01006764,107,19,72,121,26,4,4,1,3,48
S01006765,83,17,51,87,30,4,2,0,2,57
S01006766,100,7,35,86,22,2,2,4,3,43
S01006767,88,19,68,61,18,9,0,2,2,40
S01006768,84,20,50,44,21,6,2,1,2,32
S01006769,107,29,104,78,31,5,0,2,3,58
S01006770,66,22,55,51,12,0,0,3,0,41
S01006771,51,21,24,53,7,2,0,3,1,27
S01006772,80,28,66,104,33,4,0,1,0,61
S01006773,93,15,73,123,31,0,2,0,1,65
S01006774,61,19,42,79,11,4,1,2,3,30
S01006775,136,27,145,64,25,13,0,2,4,81
S01006776,49,19,44,34,8,3,2,0,1,36
S01006777,57,24,60,47,10,4,0,0,0,36
S01006778,61,29,60,41,10,3,3,0,2,41
S01006779,61,22,55,39,12,1,0,2,1,50
S01006780,56,23,59,32,14,1,0,0,4,25
S01006781,70,17,57,44,15,3,2,2,2,38
S01006782,120,28,93,74,15,6,2,2,3,66
S01006783,52,23,53,47,3,3,0,0,0,26
S01006784,74,16,108,40,10,7,2,2,3,30
S01006785,70,23,18,89,28,6,0,0,0,41
S01006786,122,28,24,124,20,6,0,2,4,54
S01006787,77,23,31,71,12,2,3,1,0,40
S01006788,372,55,118,405,115,7,8,3,12,172
S01006789,76,71,1,3,27,18,7,26,2,36
S01006790,86,93,7,7,35,21,10,24,5,60
S01006791,131,7,13,6,30,22,6,26,13,55
S01006792,97,19,10,4,17,15,3,11,23,45
S01006793,112,65,14,5,15,6,3,6,29,34
S01006794,70,37,11,4,32,8,16,18,4,42
S01006795,115,44,6,13,38,3,25,29,4,44
S01006796,134,45,17,23,43,16,37,33,12,66
S01006797,109,20,12,9,31,14,26,10,7,52
S01006798,122,10,10,23,21,17,33,1,7,71
S01006799,102,56,15,33,39,7,48,23,5,58
S01006800,179,8,23,29,20,74,16,3,10,52
S01006801,236,51,16,16,59,25,79,113,16,100
S01006802,125,12,8,38,32,16,25,62,8,58
S01006803,89,41,5,18,29,18,14,45,5,42
S01006804,86,43,1,19,43,25,31,62,7,52
S01006805,186,47,10,29,37,24,42,63,11,101
S01006806,179,8,12,80,54,32,19,101,15,70
S01006807,88,10,27,20,46,16,8,45,3,56
S01006808,126,14,2,58,25,11,11,48,12,55
S01006809,104,14,4,65,35,17,6,40,6,56
S01006810,150,22,12,19,31,17,39,44,11,53
S01006811,186,22,29,30,52,37,106,10,16,87
S01006812,140,4,11,28,71,18,99,9,8,84
S01006813,141,21,19,4,71,25,59,21,9,80
S01006814,125,31,0,7,40,18,64,21,7,61
S01006815,73,23,9,10,49,24,46,17,8,53
S01006816,78,28,3,4,36,17,51,9,11,42
S01006817,124,18,20,7,40,26,77,12,10,75
S01006818,142,8,11,24,43,80,33,6,12,70
S01006819,202,27,32,50,42,153,17,3,14,68
S01006820,95,3,8,36,132,13,4,0,5,56
S01006821,372,31,38,123,327,19,14,2,14,127
S01006822,204,12,19,32,125,87,4,2,25,92
S01006823,81,54,6,4,29,70,1,1,11,43
S01006824,105,109,4,4,38,66,1,2,6,65
S01006825,88,50,9,3,45,97,3,7,10,47
S01006826,131,53,10,2,42,80,6,0,12,44
S01006827,101,74,8,6,42,72,7,3,5,63
S01006828,104,61,19,3,49,92,7,0,12,56
S01006829,71,22,4,0,22,48,5,0,3,23
S01006830,82,29,23,4,39,62,1,2,12,50
S01006831,77,28,3,1,19,45,2,1,4,14
S01006832,123,45,5,5,53,99,6,3,5,46
