Intermediate Zone - Data Zone 2011,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Owned: Shared Equity (e.g. LIFT or Help-to-Buy),Social Rented: Council (LA) or Housing Association/ Registered Social Landlord,Private rented,Lives Rent Free
S01006833,118,57,0,0,4,10,2
S01006834,46,86,0,0,16,11,2
S01006835,173,90,1,2,133,83,5
S01006836,72,94,0,2,19,43,7
S01006837,107,78,1,0,30,9,3
S01006838,98,107,0,4,35,9,1
S01006839,173,131,4,7,64,15,5
S01006840,183,175,5,8,4,17,3
S01006841,137,135,11,10,16,12,1
S01006842,183,99,1,7,6,8,1
S01006843,160,124,1,3,4,23,1
S01006844,157,121,0,3,2,36,4
S01006845,178,166,5,3,1,15,8
S01006846,107,96,0,4,24,16,1
S01006847,102,110,5,2,7,15,0
S01006848,215,317,2,17,21,81,10
S01006849,78,423,0,48,65,47,3
S01006850,110,168,0,11,53,22,5
S01006851,111,96,0,7,113,8,3
S01006852,123,87,0,0,8,7,4
S01006853,137,152,0,1,5,70,7
S01006854,176,119,9,0,75,22,3
S01006855,148,129,0,0,9,36,7
S01006856,114,88,0,0,11,61,21
S01006857,154,166,0,8,32,114,14
S01006858,124,94,1,0,4,26,5
S01006859,248,124,0,0,4,32,6
S01006860,69,48,0,6,93,17,4
S01006861,66,122,1,2,2,8,1
S01006862,145,97,0,3,64,28,5
S01006863,121,98,1,3,56,24,3
S01006864,48,121,0,3,94,16,2
S01006865,238,126,0,2,25,81,8
S01006866,145,60,0,0,1,8,4
S01006867,185,75,0,0,16,27,4
S01006868,156,89,0,1,93,16,11
S01006869,75,59,0,1,27,42,4
S01006870,92,68,0,0,13,25,0
S01006871,107,93,0,0,44,17,5
S01006872,158,212,1,0,13,51,7
S01006873,260,103,1,0,8,92,14
S01006874,104,57,0,0,4,59,9
S01006875,121,69,1,1,81,53,11
S01006876,203,130,0,2,39,41,5
S01006877,203,116,0,1,4,52,15
S01006878,138,78,0,1,44,57,13
S01006879,152,72,0,0,8,79,15
S01006880,110,130,2,3,12,22,6
S01006881,122,82,0,0,0,26,5
S01006882,66,32,1,3,42,9,1
S01006883,94,64,0,2,34,22,2
S01006884,188,123,0,2,93,28,6
S01006885,154,201,0,11,52,36,4
S01006886,169,162,0,2,37,52,11
S01006887,102,110,0,6,34,31,4
S01006888,161,153,2,3,21,22,0
S01006889,121,63,1,5,143,7,4
S01006890,142,77,0,2,30,10,4
S01006891,155,167,0,2,92,13,3
S01006892,77,59,1,3,127,12,1
S01006893,83,44,0,0,68,4,2
S01006894,196,109,0,4,121,36,4
S01006895,73,106,0,7,67,55,1
S01006896,176,93,0,3,63,40,6
S01006897,142,108,0,4,19,23,4
S01006898,182,89,0,5,45,33,3
S01006899,117,103,0,1,7,7,2
S01006900,127,75,2,1,3,11,2
S01006901,77,82,0,1,97,22,2
S01006902,89,66,1,1,125,24,0
S01006903,108,85,1,1,155,40,4
S01006904,120,77,10,5,50,43,6
S01006905,188,101,1,0,76,45,4
S01006906,100,86,1,5,216,27,5
S01006907,123,110,1,0,64,103,12
S01006908,150,94,0,1,96,82,10
S01006909,168,212,0,2,52,22,5
S01006910,179,193,1,2,24,26,7
S01006911,34,173,0,0,31,16,0
S01006912,149,167,1,1,13,30,6
S01006913,132,600,0,18,136,45,9
S01006914,143,105,0,0,5,24,1
S01006915,148,142,0,3,19,23,8
S01006916,61,73,1,12,52,11,1
S01006917,72,205,0,3,25,20,0
S01006918,81,76,1,1,19,10,0
S01006919,111,57,0,0,17,8,3
S01006920,73,84,1,0,51,25,7
S01006921,89,167,0,6,1,10,1
S01006922,125,105,1,4,3,25,10
S01006923,203,96,0,1,57,17,4
S01006924,121,71,0,0,6,25,5
S01006925,107,53,0,1,23,6,5
S01006926,103,125,0,1,18,8,0
S01006927,58,221,0,2,34,50,0
S01006928,155,165,2,3,36,82,7
S01006929,177,101,1,0,0,10,0
S01006930,222,114,0,0,2,18,3
S01006931,49,37,0,1,7,51,8
S01006932,85,222,0,9,85,33,1
S01006933,124,84,0,0,2,6,4
S01006934,124,200,2,4,49,63,6
S01006935,179,97,0,1,4,19,6
S01006936,145,90,4,1,15,19,1
S01006937,171,121,0,6,6,36,3
S01006938,88,73,0,1,55,17,3
S01006939,133,95,0,0,1,8,1
S01006940,229,107,2,2,8,38,6
S01006941,111,89,0,7,16,14,4
S01006942,182,152,0,0,18,20,5
S01006943,68,126,0,0,4,12,0
S01006944,81,232,8,14,48,45,6
S01006945,113,69,0,0,2,16,1
S01006946,131,112,4,2,12,18,3
S01006947,77,161,8,4,37,23,1
S01006948,179,128,0,3,56,19,3
S01006949,146,108,0,3,6,9,0
S01006950,51,180,0,13,39,22,3
S01006951,97,67,0,1,30,9,1
S01006952,199,119,2,2,23,36,1
S01006953,130,147,0,1,2,21,2
S01006954,191,133,0,4,22,18,0
S01006955,57,97,1,6,81,16,3
S01006956,118,208,0,6,40,21,1
S01006957,170,176,0,8,8,30,10
S01006958,322,236,0,18,24,69,6
S01006959,113,63,0,4,129,46,5
S01006960,93,175,0,0,41,15,1
S01006961,77,223,0,2,0,17,0
S01006962,229,128,0,6,8,41,6
S01006963,140,108,0,3,7,24,2
S01006964,144,127,0,7,5,58,6
S01006965,122,60,0,0,17,17,2
S01006966,63,91,1,2,78,9,1
S01006967,120,112,2,3,8,16,2
S01006968,70,62,0,2,35,15,4
S01006969,201,118,0,8,46,31,0
S01006970,150,85,0,2,18,14,0
S01006971,80,45,0,3,103,23,3
S01006972,115,115,0,4,16,24,4
S01006973,128,149,0,3,31,15,0
S01006974,200,149,0,5,27,23,4
S01006975,217,169,1,0,11,28,10
S01006976,94,66,0,0,3,14,8
S01006977,114,109,0,1,10,59,13
S01006978,158,149,1,5,53,55,14
S01006979,150,165,0,11,73,29,5
S01006980,189,123,0,0,1,58,4
S01006981,136,117,2,1,35,31,10
S01006982,131,162,6,5,58,19,0
S01006983,132,107,0,0,14,27,8
S01006984,133,175,1,4,20,40,9
S01006985,191,127,3,3,107,22,6
S01006986,83,141,1,3,34,18,2
S01006987,135,82,0,2,61,19,4
S01006988,62,74,0,0,27,17,5
S01006989,238,191,0,3,17,35,9
S01006990,88,150,1,5,16,34,6
S01006991,70,55,1,2,66,23,5
